N	3gram	Trubetskoy	Komedia
1	в том что	16	29
2	к тому же	5	21
3	до сих пор	15	16
4	то же время	2	16
5	в то же	2	16
6	о том что	4	13
7	в самом деле	5	13
8	для того чтобы	7	11
9	в то время	2	11
10	в свою очередь	2	10
11	по отношению к	11	9
12	с одной стороны	2	9
13	вместе с тем	3	9
14	с другой стороны	4	8
15	то ни было	3	7
16	бы то ни	3	7
17	в конце концов	4	7
18	во всяком случае	2	7
19	так или иначе	5	7
20	в связи с	3	6
21	с точки зрения	8	6
22	том что он	2	5
23	тем не менее	4	5
24	именно потому что	2	4
25	в этой области	4	4
26	но все же	2	4
27	не в состоянии	3	4
28	по сравнению с	5	4
29	сих пор не	5	3
30	более или менее	8	3
31	друг от друга	6	3
32	в том же	3	3
33	таким образом в	3	3
34	в высшей степени	2	3
35	из того же	2	3
36	друг с другом	9	3
37	на то что	7	3
38	как бы то	2	3
39	о том чтобы	2	3
40	таким же образом	2	2
41	и в том	2	2
42	в этом случае	4	2
43	так же как	3	2
44	при этом что	2	2
45	как и в	2	2
