N	2gram	Vygotskiy_	Komedia
1	и в	65	77
2	и не	20	47
3	в том	46	44
4	том что	28	42
5	о том	17	33
6	едва ли	4	32
7	но и	6	32
8	может быть	33	30
9	таким образом	21	29
10	из них	10	29
11	в то	5	28
12	и его	8	28
13	в этом	37	27
14	потому что	26	27
15	что он	23	26
16	к тому	18	26
17	не только	16	25
18	тому же	2	25
19	вместе с	10	25
20	так как	13	24
21	как и	12	23
22	ни в	6	23
23	что в	36	23
24	что и	7	22
25	если бы	22	22
26	в самом	41	22
27	в конце	5	21
28	так и	3	21
29	а в	9	21
30	то же	17	21
31	ясно что	11	21
32	в его	11	20
33	со стороны	4	19
34	во время	4	19
35	к этому	5	19
36	в этой	20	18
37	и т	19	17
38	тем что	7	17
39	еще не	3	17
40	и здесь	9	17
41	в нем	8	17
42	все же	10	16
43	у него	6	16
44	при этом	10	16
45	тот же	5	16
46	сих пор	6	16
47	действующих лиц	6	16
48	он не	11	16
49	до сих	7	16
50	его в	5	15
51	в своем	8	15
52	не в	12	15
53	точки зрения	19	15
54	между тем	10	15
55	прежде всего	2	15
56	один из	7	15
57	было бы	22	15
58	в которой	8	15
59	и на	7	15
60	к нему	2	14
61	все это	12	14
62	об этом	4	14
63	в свою	6	14
64	и с	4	14
65	столь же	5	14
66	то что	61	13
67	так что	10	13
68	самом деле	33	13
69	но в	5	13
70	того же	4	13
71	в них	4	13
72	того чтобы	21	13
73	в двух	11	13
74	что она	34	13
75	мы можем	12	13
76	только что	10	13
77	в одном	9	13
78	как раз	14	13
79	так же	12	12
80	с другой	8	12
81	для того	18	12
82	т п	7	12
83	как это	13	12
84	несмотря на	7	12
85	не по	3	12
86	в качестве	2	12
87	в истории	3	12
88	не может	17	12
89	как в	8	12
90	но не	3	12
91	в котором	7	12
92	из которых	6	12
93	должны были	2	11
94	наряду с	4	11
95	в их	3	11
96	в частности	3	11
97	с тем	14	11
98	одного из	2	11
99	что его	3	11
100	речь идет	7	11
101	как мы	12	11
102	то время	4	11
103	к ней	3	11
104	и даже	4	11
105	на этот	2	11
106	и для	4	11
107	с ним	6	11
108	в целом	8	10
109	к себе	2	10
110	отношение к	2	10
111	ничего не	4	10
112	на основании	2	10
113	и все	14	10
114	в чем	3	10
115	что касается	2	10
116	на его	2	10
117	мы не	7	10
118	же в	2	10
119	он был	3	10
120	свою очередь	3	10
121	с его	2	10
122	с этим	11	10
123	тем более	2	10
124	на него	3	10
125	с одной	7	10
126	как бы	29	10
127	более чем	2	10
128	и что	29	10
129	в тех	5	9
130	тому что	10	9
131	одной стороны	6	9
132	о его	2	9
133	и по	2	9
134	в своей	6	9
135	того как	4	9
136	независимо от	2	9
137	и еще	2	9
138	больше чем	5	9
139	время как	6	9
140	но все	2	9
141	все что	2	9
142	вовсе не	11	9
143	говорить о	3	9
144	только в	9	9
145	в ней	23	9
146	идет о	8	8
147	и ее	4	8
148	тех пор	2	8
149	и других	5	8
150	как он	2	8
151	по своему	6	8
152	с самого	10	8
153	место в	6	8
154	то это	5	8
155	связи с	2	8
156	что ни	3	8
157	другой стороны	5	8
158	можно было	7	8
159	бы в	3	8
160	с этой	5	8
161	в течение	5	8
162	что у	7	8
163	что для	6	8
164	в которых	9	8
165	не было	4	8
166	во всех	4	8
167	до конца	5	7
168	в себе	9	7
169	и поэтому	3	7
170	само собой	3	7
171	в другом	6	7
172	и к	5	7
173	мы знаем	3	7
174	самого начала	10	7
175	и о	6	7
176	но если	6	7
177	и это	13	7
178	и во	3	7
179	что они	9	7
180	во всяком	6	7
181	если в	2	7
182	из этих	6	7
183	мы найдем	2	7
184	хотя бы	3	7
185	в результате	3	7
186	дело с	5	7
187	целый ряд	6	7
188	и вот	6	7
189	должен был	4	7
190	не является	2	7
191	в этих	3	7
192	не имеет	8	7
193	по которым	2	7
194	или иначе	2	7
195	к его	2	7
196	отнюдь не	2	7
197	для нас	14	7
198	всяком случае	6	7
199	даже в	2	6
200	в силу	2	6
201	в виду	6	6
202	и тем	4	6
203	надо было	3	6
204	о которых	10	6
205	на ее	2	6
206	здесь в	4	6
207	что не	5	6
208	в сущности	16	6
209	и он	5	6
210	на это	6	6
211	это было	4	6
212	к концу	4	6
213	и как	10	6
214	как будто	13	6
215	с и	6	6
216	в какой	8	6
217	до тех	2	6
218	на то	25	6
219	в своих	6	6
220	еще более	2	6
221	когда он	8	6
222	которую он	2	6
223	на этом	6	6
224	представляет собой	3	6
225	главным образом	6	6
226	с точки	11	6
227	или в	6	6
228	а не	11	6
229	не мог	4	6
230	никогда не	9	5
231	и если	13	5
232	это не	7	5
233	из всех	3	5
234	для всех	2	5
235	том как	5	5
236	вслед за	4	5
237	одним из	2	5
238	роль в	2	5
239	и мы	19	5
240	ни одной	2	5
241	после этого	5	5
242	все время	36	5
243	по существу	4	5
244	к ним	3	5
245	не так	4	5
246	представить себе	2	5
247	и без	2	5
248	мы имеем	2	5
249	что на	4	5
250	не могла	2	5
251	между собой	2	5
252	в ее	9	5
253	и я	3	5
254	в первом	3	5
255	только один	2	5
256	в действительности	3	5
257	признать что	2	5
258	сказать что	14	5
259	для этого	9	5
260	что это	19	5
261	в мире	3	5
262	в первой	2	5
263	т д	6	5
264	каждого из	4	5
265	из двух	4	5
266	отказаться от	2	5
267	к своему	2	5
268	что по	3	5
269	раз в	7	5
270	именно в	3	5
271	со своей	3	5
272	жизни и	6	5
273	а на	2	5
274	конечно не	6	5
275	друг другу	2	5
276	же самое	14	5
277	у меня	2	5
278	той же	6	5
279	но он	5	5
