N	3gram	Bakhtin_Fr	Komedia
1	в том что	2	29
2	до сих пор	6	16
3	то же время	13	16
4	в то же	13	16
5	о том что	3	13
6	для того чтобы	5	11
7	в свою очередь	2	10
8	по отношению к	2	9
9	с одной стороны	4	9
10	с другой стороны	5	8
11	в конце концов	3	7
12	во всяком случае	2	7
13	в связи с	5	6
14	с точки зрения	4	6
15	в том числе	4	6
16	в отличие от	3	6
17	в этом отношении	4	5
18	за то что	2	5
19	можно было бы	2	4
20	и тот же	3	4
21	но все же	2	4
22	по сравнению с	2	4
23	на протяжении всего	2	3
24	в той же	5	3
25	в том же	3	3
26	и его современников	3	3
27	но и в	4	3
28	один и тот	3	3
29	том числе и	3	3
30	мы имеем в	2	2
31	в большинстве случаев	3	2
32	как мы видели	4	2
33	подобно тому как	2	2
34	не только в	3	2
35	мы встречаем в	2	2
36	как мы знаем	2	2
37	как и в	2	2
38	одной стороны и	2	2
39	и в то	2	2
40	таким образом и	2	2
41	в этой же	2	2
42	имеем в виду	2	2
