N	3gram	Losev_Prob	Narrotol
1	в том что	7	18
2	в данном случае	10	17
3	не только в	3	13
4	о том что	16	9
5	в то же	4	8
6	той или иной	5	8
7	тем не менее	25	8
8	в этом отношении	2	8
9	не может быть	5	8
10	можно сказать что	6	6
11	и тем самым	4	6
12	с одной стороны	4	6
13	на самом деле	6	5
14	подобно тому как	2	5
15	для того чтобы	9	5
16	но и в	3	5
17	во всяком случае	11	4
18	то же самое	9	3
19	внимание на то	2	3
20	точно так же	7	3
21	того или иного	6	3
22	иметь в виду	4	3
23	в связи с	7	3
24	с точки зрения	3	3
25	пока еще не	4	3
26	а также и	2	3
27	в самом деле	4	3
28	до сих пор	6	3
29	на то что	12	3
30	дело в том	3	3
31	и то что	9	3
32	здесь не только	2	2
33	не только не	4	2
34	в таком случае	14	2
35	чем иным как	2	2
36	более или менее	7	2
37	это то что	4	2
38	одного и того	2	2
39	хотя и не	2	2
40	можно было бы	4	2
41	так же как	2	2
42	в частности в	2	2
43	что иное как	5	2
44	только потому что	3	2
45	на этот раз	2	2
46	и того же	2	2
47	сами по себе	5	2
48	мысль о том	2	2
49	на первый взгляд	2	2
50	но и не	2	2
51	именно то что	4	2
