N	3gram	Tiupa_Narr	Tvorches
1	в то же	3	25
2	то же время	3	24
3	в том что	8	11
4	о том что	6	8
5	по сути дела	2	7
6	в конечном счете	2	6
7	не может быть	5	6
8	по отношению к	6	5
9	с точки зрения	2	4
10	в таком случае	2	3
11	точно так же	2	3
12	с другой стороны	4	3
13	сами по себе	2	3
14	в отличие от	5	3
15	не сводится к	2	2
16	тем не менее	3	2
17	не только в	2	2
18	можно сказать что	4	2
19	не то что	2	2
20	в связи с	2	2
21	том числе и	4	2
22	так же как	2	2
23	в известном смысле	2	2
24	в данном случае	4	2
25	в том числе	6	2
26	все же не	4	2
27	к тому же	4	2
28	в свою очередь	3	2
