N	2gram	Berdyaev_V	Hudozhes
1	в мире	5	24
2	и в	16	23
3	не только	2	20
4	в том	3	20
5	и не	20	16
6	но и	5	14
7	а в	2	13
8	но не	2	13
9	а не	7	13
10	в этом	4	12
11	так и	4	12
12	как бы	5	11
13	в его	4	11
14	но в	3	10
15	не в	3	9
16	том что	2	9
17	лишь в	3	7
18	в своей	3	7
19	только в	2	7
20	что в	3	7
21	уже не	2	6
22	в нем	4	6
23	с его	3	6
24	ни в	3	5
25	могут быть	2	5
26	того чтобы	2	5
27	что он	4	5
28	то что	9	5
29	прежде всего	2	5
30	того что	5	5
31	для него	2	5
32	и то	2	4
33	это не	2	4
34	к тому	3	4
35	между тем	2	4
36	в форме	2	4
37	еще не	8	4
38	и что	3	4
39	говорить о	4	4
40	в этих	3	4
41	по пути	5	4
42	в себя	2	4
43	хотя и	5	4
44	в жизни	3	3
45	и для	3	3
46	как и	4	3
47	их в	3	3
48	потому что	4	3
49	во всех	3	3
50	личности и	3	3
51	не будет	2	3
52	и сам	2	3
53	никогда не	3	2
54	одна из	2	2
55	не могли	2	2
56	тот кто	2	2
57	и это	2	2
58	ее в	2	2
59	тому что	3	2
60	и потому	7	2
61	в чем	3	2
62	все эти	3	2
63	человека и	6	2
64	вслед за	2	2
65	оно не	3	2
66	я думаю	2	2
67	значения и	2	2
68	во мне	4	2
69	один из	2	2
70	в них	3	2
71	мира в	2	2
72	все это	5	2
73	что и	3	2
74	ведет по	2	2
75	к бытию	3	2
76	а с	2	2
77	с ним	2	2
78	превращается в	3	2
79	не с	2	2
