N	2gram	Berdyaev_O	Poddanst
1	не только	11	17
2	и в	19	14
3	и не	13	12
4	в этом	12	10
5	но в	2	9
6	в том	5	9
7	хотя бы	3	8
8	быть может	3	6
9	но и	13	6
10	было бы	3	6
11	россии в	2	5
12	не в	11	5
13	и о	2	5
14	может быть	11	5
15	по себе	2	4
16	что в	4	4
17	и потому	2	4
18	в своем	2	4
19	том что	2	4
20	в русской	3	4
21	и к	2	4
22	как бы	3	4
23	то что	5	4
24	не может	4	4
25	а в	5	4
26	с тем	2	3
27	это не	3	3
28	т е	4	3
29	в россии	5	3
30	для того	3	3
31	в себе	3	3
32	потому что	9	3
33	в нем	10	3
34	могут быть	3	3
35	прежде всего	9	3
36	хотя и	2	3
37	должно быть	2	2
38	в его	7	2
39	и вот	3	2
40	все это	6	2
41	а не	11	2
42	не было	9	2
43	мысль о	2	2
44	и есть	3	2
45	и с	2	2
46	в ее	2	2
47	того что	3	2
