N	3gram	Voloshinov	SlovoVZh
1	по отношению к	11	11
2	не может быть	14	7
3	можно сказать что	5	5
4	в том что	9	4
5	то ни было	2	3
6	и по отношению	2	3
7	бы то ни	3	3
8	тем не менее	4	3
9	может быть и	6	3
10	до сих пор	3	3
11	это как бы	2	3
12	и не может	3	3
13	на самом деле	4	2
14	конечно не может	2	2
15	смысл и значение	2	2
16	в данном случае	4	2
17	в зависимости от	4	2
18	с точки зрения	15	2
19	мы можем сказать	5	2
20	то же самое	2	2
21	в какой степени	2	2
22	с одной стороны	2	2
23	мы никогда не	2	2
