N	2gram	Medvedev_F	Marksizm
1	точки зрения	21	69
2	может быть	30	64
3	и в	54	63
4	и не	34	55
5	как бы	10	53
6	не может	26	47
7	с точки	17	46
8	и пр	30	42
9	и его	27	41
10	в этом	39	39
11	таким образом	28	38
12	в процессе	17	33
13	как мы	10	32
14	языка и	13	31
15	в пределах	13	31
16	лишь в	15	30
17	не только	14	29
18	в нем	25	28
19	то же	16	28
20	языка как	11	27
21	но и	18	27
22	в языке	5	26
23	самом деле	12	25
24	речи и	2	25
25	связи с	12	25
26	прежде всего	34	24
27	как и	18	24
28	в самом	17	24
29	так и	24	23
30	только в	6	23
31	в том	17	22
32	то что	14	22
33	а не	11	22
34	при этом	14	20
35	так сказать	6	20
36	для него	9	20
37	если мы	5	20
38	том что	3	19
39	об идеологиях	15	19
40	не в	16	19
41	в его	30	19
42	если бы	8	19
43	на почве	20	19
44	но в	9	18
45	в ее	10	18
46	и для	5	18
47	языка в	8	18
48	в слове	4	18
49	вовсе не	18	18
50	все же	8	17
51	в сущности	3	17
52	в то	14	16
53	по отношению	4	16
54	социального общения	8	16
55	и как	6	16
56	слова и	5	16
57	ни было	2	16
58	речевого общения	6	16
59	что он	8	15
60	в связи	11	15
61	во всех	9	15
62	отношению к	4	15
63	отнюдь не	13	15
64	в русском	2	15
65	же время	13	15
66	с помощью	13	15
67	в контексте	2	14
68	в данном	2	14
69	хотя бы	10	14
70	язык как	8	14
71	в смысле	2	14
72	ничего не	5	13
73	так же	5	13
74	мы не	6	13
75	того чтобы	4	13
76	было бы	10	13
77	в своей	16	13
78	не является	3	13
79	и здесь	8	13
80	слова в	2	13
81	то ни	5	13
82	что в	10	13
83	в результате	8	12
84	а в	11	12
85	идеологического творчества	9	12
86	в основе	7	12
87	бы то	4	12
88	в высшей	4	12
89	для того	3	12
90	высшей степени	4	12
91	он не	8	12
92	между тем	4	12
93	на самом	8	11
94	друг друга	4	11
95	слова как	2	11
96	как в	12	11
97	и все	9	11
98	к нему	3	11
99	и на	10	11
100	в ней	15	11
101	сих пор	7	11
102	не столько	5	11
103	все эти	12	11
104	на материале	2	11
105	и от	9	11
106	так как	4	11
107	еще не	6	11
108	и что	2	11
109	до сих	7	11
110	никогда не	6	10
111	его в	5	10
112	и потому	9	10
113	бытия в	3	10
114	в каждом	3	10
115	в основном	3	10
116	отличие от	2	10
117	самого начала	2	10
118	более того	6	10
119	с самого	2	10
120	здесь в	2	10
121	без исключения	2	10
122	во всяком	6	10
123	с его	12	10
124	сказать что	3	10
125	одна из	2	10
126	к этому	3	10
127	в своем	12	10
128	совершенно не	5	10
129	в отличие	2	10
130	с другой	8	10
131	именно в	12	10
132	конечно не	5	10
133	в таком	2	10
134	в большинстве	6	10
135	в себе	4	9
136	общения и	3	9
137	о языке	4	9
138	а как	5	9
139	это не	4	9
140	только на	8	9
141	мы видели	5	9
142	одной из	2	9
143	и это	4	9
144	к тому	6	9
145	большинстве случаев	5	9
146	в истории	10	9
147	в нашем	2	9
148	и эта	2	9
149	индивидуальное сознание	2	9
150	не имеет	2	9
151	как если	2	9
152	речевых выступлений	2	9
153	отношении к	2	9
154	и более	4	9
155	ни в	3	9
156	точка зрения	3	9
157	быть и	5	9
158	в отношении	3	8
159	перед нами	3	8
160	и ее	15	8
161	в науке	2	8
162	не как	7	8
163	в форме	2	8
164	или же	4	8
165	в их	16	8
166	смысле этого	4	8
167	мы знаем	3	8
168	с этим	6	8
169	тому что	3	8
170	настоящее время	11	8
171	что не	4	8
172	не будет	2	8
173	что и	10	8
174	в настоящее	11	8
175	этого слова	4	8
176	другой стороны	5	8
177	за пределы	2	8
178	и даже	7	8
179	кроме того	3	8
180	и их	13	8
181	у нас	6	8
182	на то	2	8
183	в свою	8	8
184	и с	17	8
185	но что	2	8
186	столь же	2	8
187	не было	7	8
188	сводится к	6	8
189	к другому	2	8
190	чем же	3	8
191	ясно что	3	8
192	до конца	9	7
193	от него	2	7
194	свою очередь	6	7
195	в формах	4	7
196	является лишь	5	7
197	того что	7	7
198	по себе	10	7
199	настоящего времени	3	7
200	место в	8	7
201	и те	2	7
202	могут быть	7	7
203	там где	3	7
204	в качестве	2	7
205	в этой	10	7
206	же является	2	7
207	нашей работы	3	7
208	бы в	6	7
209	науки об	12	7
210	в этих	3	7
211	следует что	3	7
212	общения в	3	7
213	далеко не	2	7
214	в котором	2	7
215	языка не	2	7
216	той же	2	7
217	до настоящего	3	7
218	социальной группы	4	7
219	как раз	8	7
220	на основе	6	7
221	вполне понятно	2	7
222	как ее	4	6
223	не есть	4	6
224	вопрос о	3	6
225	в идеологическом	6	6
226	для всего	3	6
227	в другом	2	6
228	является в	2	6
229	слово в	2	6
230	характерно что	2	6
231	в различных	2	6
232	он и	3	6
233	одной стороны	5	6
234	науки о	4	6
235	что же	6	6
236	в какой	3	6
237	должны быть	6	6
238	все это	11	6
239	с ее	7	6
240	должна быть	11	6
241	слово и	2	6
242	с другими	11	6
243	из этих	4	6
244	пр и	4	6
245	из важнейших	2	6
246	же в	4	6
247	зависимости от	5	6
248	язык в	2	6
249	от одного	2	6
250	лишь как	7	6
251	с одной	5	6
252	между ними	3	6
253	входит в	8	6
254	уже не	9	6
255	этот вопрос	2	6
256	в единстве	8	6
257	в корне	6	6
258	идеологического общения	4	6
259	всяком случае	6	6
260	в той	3	6
261	ничего общего	2	6
262	не к	2	6
