N	2gram	Vygotskiy_	slovoVRo
1	и в	55	92
2	в романе	2	89
3	и т	12	82
4	т п	5	72
5	то есть	16	64
6	в нем	13	59
7	может быть	34	59
8	и его	10	59
9	и не	19	51
10	не только	24	44
11	не может	15	41
12	но и	16	39
13	до конца	7	37
14	в этом	30	36
15	а не	16	34
16	во всех	6	32
17	так и	6	30
18	точки зрения	15	30
19	могут быть	8	29
20	и др	2	29
21	в пределах	3	29
22	в его	8	27
23	все это	8	25
24	слова и	2	24
25	как бы	33	24
26	то же	16	23
27	и на	12	22
28	не в	12	21
29	в сущности	14	21
30	как в	4	21
31	вовсе не	8	21
32	в то	6	20
33	прежде всего	6	19
34	как мы	6	19
35	или иной	2	18
36	как и	9	18
37	себя в	4	18
38	же время	2	18
39	с ним	4	18
40	все же	11	17
41	оно не	2	17
42	все эти	5	17
43	в основе	9	17
44	и даже	4	17
45	таким образом	35	17
46	отличие от	3	16
47	при этом	11	16
48	в них	7	16
49	но в	7	16
50	там где	6	15
51	той или	2	15
52	и с	3	15
53	со своим	2	15
54	в той	3	15
55	с точки	5	15
56	в отличие	3	14
57	романа и	2	14
58	только в	12	14
59	это не	9	13
60	и следовательно	3	13
61	точка зрения	4	13
62	рядом с	6	13
63	с его	6	13
64	в особенности	3	13
65	и для	13	13
66	с другой	12	13
67	никогда не	15	12
68	в отношении	2	12
69	и потому	8	12
70	а в	7	12
71	или в	6	12
72	во всяком	2	12
73	и наконец	5	12
74	еще не	6	12
75	и к	5	12
76	один из	9	11
77	на его	4	11
78	одной стороны	15	11
79	в этих	3	11
80	с одной	15	11
81	для него	5	11
82	все они	2	10
83	в своем	12	10
84	и их	3	10
85	в том	50	10
86	и все	15	10
87	в себе	13	10
88	всех этих	3	10
89	в него	5	10
90	т д	6	10
91	далеко не	4	10
92	его в	2	9
93	и от	2	9
94	и других	2	9
95	здесь в	2	9
96	в их	3	9
97	в своей	8	9
98	этом случае	2	9
99	сказать что	14	9
100	одна из	6	9
101	так как	20	9
102	героя и	9	9
103	но не	9	9
104	конечно не	3	9
105	он не	10	9
106	быть и	2	9
107	не могут	4	8
108	в одной	4	8
109	для понимания	3	8
110	в зависимости	7	8
111	в ней	5	8
112	все время	44	8
113	с этим	4	8
114	зависимости от	9	8
115	человека в	3	8
116	в самом	18	8
117	для нас	9	8
118	перед нами	5	7
119	том что	46	7
120	от него	5	7
121	по преимуществу	2	7
122	его не	2	7
123	о нем	3	7
124	того же	5	7
125	ту же	3	7
126	в целом	7	7
127	связи с	2	7
128	например в	2	7
129	у него	9	7
130	но все	5	7
131	еще более	2	7
132	с которым	5	7
133	жизни и	8	7
134	не было	2	7
135	в таком	4	7
136	во всем	3	7
137	мы уже	7	7
138	даже в	2	6
139	ничего не	4	6
140	которые в	2	6
141	на этом	11	6
142	что в	43	6
143	ни в	5	6
144	дело с	5	6
145	в качестве	2	6
146	мы сказали	2	6
147	можно сказать	4	6
148	другой стороны	8	6
149	и там	2	6
150	и здесь	11	6
151	стороны и	5	6
152	хотя бы	5	6
153	он в	3	6
154	именно в	9	6
155	в свою	3	6
156	себя и	3	6
157	по себе	13	6
158	в одном	5	6
159	слов и	2	6
160	между тем	4	6
161	в каждом	2	5
162	не как	3	5
163	конца и	2	5
164	а как	3	5
165	героя в	3	5
166	только на	4	5
167	не знает	2	5
168	в поэзии	5	5
169	и проч	2	5
170	отношению к	2	5
171	а затем	2	5
