N	2gram	Tiupa_Anal	EvropaiE
1	и в	30	37
2	в отношении	2	32
3	в пределах	11	25
4	точки зрения	10	23
5	что в	7	21
6	не только	30	18
7	с точки	6	17
8	в то	10	16
9	хотя бы	4	15
10	то же	12	15
11	в своем	2	14
12	но в	11	14
13	но и	29	14
14	и не	33	14
15	же время	7	14
16	в качестве	38	14
17	в этом	31	12
18	в том	36	11
19	в их	8	11
20	в области	4	11
21	так и	16	10
22	не может	26	9
23	отнюдь не	22	9
24	в себе	17	9
25	прежде всего	8	9
26	только в	8	9
27	одной стороны	6	8
28	между тем	7	8
29	в ее	2	8
30	думать что	2	8
31	было бы	4	8
32	в своей	7	8
33	с одной	7	8
34	к тому	12	8
35	также и	3	7
36	с другой	7	7
37	а также	8	7
38	как и	23	7
39	так как	3	7
40	того что	5	7
41	том что	21	6
42	вслед за	3	6
43	во всех	5	6
44	то есть	19	6
45	и даже	10	6
46	может быть	33	6
47	и на	10	6
48	с этой	2	6
49	того чтобы	3	6
50	для того	4	6
51	на то	2	6
52	то что	11	6
53	как бы	15	6
54	вовсе не	4	6
55	но не	13	5
56	тем самым	9	5
57	и по	2	5
58	и потому	2	5
59	столь же	7	5
60	этой точки	2	5
61	в той	8	5
62	как мы	3	5
63	со стороны	5	5
64	не в	17	5
65	в частности	32	5
66	одной из	2	5
67	даже в	5	4
68	сказать что	2	4
69	вопрос о	2	4
70	или иного	3	4
71	или иной	8	4
72	можно сказать	6	4
73	то в	2	4
74	независимо от	2	4
75	культуры в	2	4
76	именно в	6	4
77	в процессе	2	4
78	в самом	12	4
79	в полной	3	4
80	как совокупность	2	4
81	по себе	6	4
82	несмотря на	5	4
83	тем более	2	4
84	мира в	2	4
85	ни было	4	4
86	той или	8	4
87	как это	5	4
88	то ни	3	4
89	того или	3	4
90	бы то	3	4
91	никогда не	4	3
92	и для	3	3
93	известном смысле	2	3
94	о том	11	3
95	в данном	6	3
96	всего лишь	11	3
97	вообще не	2	3
98	того же	7	3
99	этом смысле	3	3
100	бы ни	2	3
101	и к	5	3
102	в результате	3	3
103	не будет	3	3
104	из них	2	3
105	в известном	2	3
106	место в	3	3
107	на себя	5	3
108	что и	5	3
109	друг с	2	3
110	во второй	3	3
111	и тем	4	3
112	тем что	2	3
113	говорит о	5	3
114	этом отношении	5	3
115	не является	3	3
116	в культуре	3	3
117	не более	4	3
118	потому что	3	3
119	себе не	2	3
120	в таком	5	3
121	себе в	2	3
122	представляет собой	23	3
123	с другом	2	3
124	как в	3	3
125	ее в	2	3
126	всех прочих	2	2
127	есть в	4	2
128	данном случае	3	2
129	и если	2	2
130	в мире	14	2
131	на этот	2	2
132	если в	3	2
133	в его	15	2
134	не есть	8	2
135	мира не	2	2
136	в эту	3	2
137	при помощи	2	2
138	и то	4	2
139	к нему	4	2
140	не могут	3	2
141	а в	11	2
142	из того	5	2
143	мы должны	2	2
144	с другими	4	2
145	в котором	5	2
146	какой бы	2	2
147	в сторону	6	2
148	далеко не	6	2
149	и с	2	2
150	бы в	3	2
151	в случае	7	2
152	что на	3	2
153	могут быть	12	2
154	по преимуществу	4	2
155	не говоря	2	2
156	другой стороны	2	2
157	что все	2	2
158	тогда когда	3	2
159	по своей	6	2
160	и та	2	2
161	в одном	3	2
162	и как	6	2
163	что же	3	2
164	есть не	9	2
165	если бы	6	2
166	иначе говоря	17	2
167	в этих	3	2
168	в силу	4	2
169	частности в	2	2
170	более чем	4	2
171	и того	5	2
172	а не	25	2
173	или иному	2	2
174	и что	2	2
175	нас к	2	2
176	и во	3	2
177	или точнее	2	2
178	и наконец	2	2
179	и все	5	2
180	или в	2	2
181	таким образом	5	2
182	а именно	3	2
183	он не	4	2
184	как будто	6	2
185	такой же	3	2
186	только одно	2	2
187	на уровне	10	2
188	не к	3	2
189	в этой	12	2
190	не означает	2	2
191	тому или	2	2
192	между собой	2	2
193	всего в	3	2
194	хотя и	4	2
195	в какой	3	2
196	в рассуждении	2	2
197	вместе с	6	2
198	заключается в	2	2
199	на основе	3	2
200	и более	5	2
201	имеет место	6	2
