N	2gram	Bakhtin_Pr	VLabPisa
1	таким образом	9	32
2	в этом	24	29
3	не только	14	26
4	и в	83	26
5	может быть	23	23
6	во сне	7	21
7	хотя бы	6	20
8	и не	41	20
9	в процессе	4	17
10	не может	18	17
11	в том	22	15
12	в его	15	15
13	прежде всего	20	13
14	все это	11	13
15	вот что	2	12
16	как это	2	12
17	что в	5	11
18	с другой	4	11
19	из них	7	11
20	то же	10	10
21	не могут	4	10
22	но и	16	10
23	и др	18	10
24	о том	3	10
25	к этому	5	9
26	об этом	3	9
27	в своем	2	8
28	том что	9	8
29	могут быть	5	8
30	другой стороны	3	8
31	все эти	9	8
32	было бы	6	8
33	только в	10	8
34	вместе с	5	8
35	это не	10	7
36	из этих	3	7
37	во всех	15	7
38	по отношению	6	7
39	в году	2	7
40	то что	14	7
41	действительности и	2	7
42	отношению к	5	7
43	как и	13	7
44	их в	3	7
45	в нем	21	7
46	главным образом	3	7
47	не было	5	7
48	говорит о	2	7
49	а не	19	7
50	не в	10	6
51	в то	8	6
52	в себе	10	6
53	или менее	3	6
54	все же	3	6
55	у него	5	6
56	идеи и	5	6
57	так и	9	6
58	более или	3	6
59	один из	7	6
60	в зависимости	3	6
61	и его	13	6
62	бы и	3	6
63	между тем	2	6
64	никогда не	10	5
65	даже в	3	5
66	сказать что	12	5
67	в плане	3	5
68	в одном	4	5
69	и образов	2	5
70	перед нами	17	5
71	в результате	2	5
72	в пределах	8	5
73	зависимости от	3	5
74	в их	7	5
75	одним из	6	5
76	и при	2	5
77	к тому	2	5
78	как бы	27	5
79	в них	4	5
80	в целом	3	5
81	же время	8	5
82	на основе	4	5
83	одна из	9	4
84	в сознании	2	4
85	образов и	7	4
86	и ее	8	4
87	в виду	3	4
88	ее в	4	4
89	что он	6	4
90	жорж санд	2	4
91	в романе	9	4
92	по существу	7	4
93	что все	3	4
94	когда он	2	4
95	в самом	7	4
96	как раз	6	4
97	в ее	3	4
98	с ними	2	4
99	в своей	5	4
100	художественных образов	2	4
101	в связи	2	4
102	можно сказать	12	4
103	в этой	3	4
104	с его	4	4
