N	2gram	Tiupa_Narr	Myslijsy
1	то есть	19	142
2	и в	19	121
3	может быть	25	107
4	в том	18	103
5	то что	11	83
6	что в	3	73
7	и не	20	73
8	только в	4	72
9	не только	32	67
10	а не	12	67
11	том что	14	59
12	в этом	17	59
13	но и	23	59
14	то же	4	56
15	не в	14	54
16	в себе	8	53
17	не может	10	52
18	по себе	5	52
19	того что	2	47
20	в нем	4	45
21	было бы	4	45
22	не есть	3	42
23	как и	7	42
24	так и	9	37
25	при этом	9	37
26	как в	7	37
27	что мы	2	36
28	точно так	2	35
29	тем что	3	33
30	по отношению	7	30
31	а в	11	30
32	но не	6	29
33	что не	4	29
34	между тем	3	29
35	для него	2	28
36	могут быть	3	27
37	не было	2	26
38	независимо от	2	26
39	отношению к	6	26
40	языка и	2	25
41	этого слова	2	25
42	в то	3	24
43	как бы	4	23
44	но в	6	22
45	не имеет	2	22
46	с другой	8	22
47	и потому	2	21
48	не менее	3	21
49	в ней	3	20
50	это не	2	20
51	тем самым	6	19
52	и как	5	19
53	сказать что	4	19
54	что это	3	19
55	из этих	3	19
56	тем не	3	19
57	о том	6	19
58	еще не	7	18
59	тогда как	12	18
60	бы не	2	18
61	в таком	2	18
62	в его	9	17
63	со стороны	9	17
64	точки зрения	10	17
65	уже в	3	17
66	в своем	2	16
67	к тому	7	16
68	так же	2	16
69	и на	3	16
70	с одной	7	15
71	тому как	2	15
72	и тем	4	15
73	что он	6	15
74	прежде всего	4	15
75	быть может	2	15
76	в свою	3	15
77	уже не	5	15
78	свою очередь	3	14
79	связи с	4	14
80	то в	6	14
81	столь же	3	14
82	все же	7	14
83	когда мы	2	14
84	же время	4	14
85	и все	2	13
86	те же	4	13
87	зависит от	2	13
88	например в	2	13
89	из них	3	13
90	и его	5	13
91	никогда не	3	12
92	одно из	2	12
93	что на	2	12
94	не то	2	12
95	как мы	3	12
96	есть в	2	12
97	тем более	2	12
98	оно не	2	12
99	или менее	2	12
100	хотя и	3	12
101	другой стороны	4	12
102	более или	2	12
103	в силу	4	11
104	в первом	3	11
105	его в	2	11
106	если не	4	11
107	к нему	5	11
108	же в	4	11
109	сами по	2	11
110	подобно тому	2	11
111	и только	2	11
112	одной стороны	7	10
113	бы быть	3	10
114	и для	2	10
115	хотя бы	4	10
116	не от	2	10
117	он не	3	10
118	и с	4	10
119	и есть	2	10
120	таком случае	2	9
121	зрения и	2	9
122	не будет	3	9
123	не все	5	9
124	и даже	3	9
125	на него	3	9
126	себе не	2	9
127	далеко не	5	9
128	с точки	2	9
129	и того	2	9
130	самом деле	2	9
131	один из	3	9
132	можно сказать	5	9
133	не как	2	8
134	что они	3	8
135	но все	4	8
136	именно в	6	8
137	вслед за	4	8
138	между ними	2	8
139	от одного	2	8
140	что по	2	8
141	как кажется	2	8
142	говорить о	2	8
143	или в	2	8
144	она не	2	7
145	во втором	4	7
146	себя и	2	7
147	все эти	2	7
148	в собственном	2	7
149	и тот	2	7
150	что у	2	7
151	но как	2	7
152	что именно	2	7
153	не всегда	2	7
154	было в	2	7
155	в данном	5	7
156	в памяти	2	7
157	не с	3	7
158	не существует	3	7
159	несмотря на	2	7
160	в ее	3	6
161	должна быть	2	6
162	в этой	5	6
163	в мире	9	6
164	к которому	2	6
165	между двумя	5	6
166	и до	2	6
167	в сущности	3	6
168	да и	4	6
169	хотя в	2	6
170	ни было	3	6
171	а именно	3	6
172	не могло	2	6
173	мог бы	3	6
174	жизни и	3	6
175	у него	4	6
176	а с	3	5
177	можно было	2	5
178	они не	2	5
179	состоит в	13	5
180	однако в	2	5
181	если в	3	5
182	одна из	3	5
183	переход от	4	5
184	отношение к	2	5
185	даже в	2	5
186	перед нами	4	5
187	лица и	2	5
188	в области	2	5
189	в произведении	3	5
190	на том	3	5
191	не столько	4	5
192	все то	2	5
193	значительной степени	2	5
194	мы имеем	2	5
195	к другой	2	5
196	времени и	7	5
197	человека в	2	5
198	одним из	2	5
199	в какой	2	5
200	есть всегда	2	5
201	субъекта и	2	5
202	в той	6	5
203	к другому	2	5
204	данном случае	4	4
205	с чем	2	4
206	иное как	2	4
207	не что	2	4
208	то она	2	4
209	то ни	3	4
210	не на	2	4
211	его как	2	4
212	та же	2	4
213	что иное	2	4
214	не мог	4	4
215	ни в	3	4
216	к содержанию	3	4
217	или даже	2	4
218	ничего не	2	4
219	ему в	2	4
220	одного из	4	4
221	этой точки	2	4
222	на другой	2	4
223	в связи	2	4
224	бы то	3	4
225	имеет место	4	4
226	с его	6	4
227	только о	2	4
228	этом отношении	3	4
229	но без	2	4
230	что касается	2	4
231	так или	2	4
232	из двух	3	4
233	отношения к	2	4
234	первый взгляд	2	3
235	различие между	2	3
236	она может	2	3
237	и ее	2	3
238	отличие от	5	3
239	и др	2	3
240	одной из	4	3
241	к самому	2	3
242	а если	2	3
243	как ни	2	3
244	в известном	2	3
245	всей вероятности	2	3
246	на чем	2	3
247	время в	2	3
248	по всей	2	3
249	говоря словами	2	3
250	от одной	2	3
251	его жизни	2	3
252	как будто	3	3
253	в себя	6	3
254	даже не	3	3
255	первом случае	2	3
256	как это	6	3
257	дело с	2	3
258	здесь не	4	3
259	и когда	2	3
260	в двух	2	3
261	в пространстве	4	3
262	в результате	2	3
263	что нет	2	3
264	или иначе	3	3
265	он сам	2	3
266	на первый	2	3
