N	3gram	Losev_Dial	slovoVRo
1	не может быть	12	19
2	в то же	3	18
3	то же время	3	18
4	той или иной	2	15
5	с точки зрения	25	15
6	с одной стороны	3	11
7	и т д	38	10
8	во всяком случае	3	8
9	в зависимости от	3	8
10	не может не	3	6
11	с другой стороны	3	6
12	и в то	2	6
13	в том что	12	5
14	в этом отношении	2	5
15	в лучшем случае	2	4
16	на первый план	4	4
17	мы уже сказали	2	4
18	не могут быть	3	4
19	одно и то	2	3
20	к тому что	2	3
21	и то же	2	3
22	как и в	3	3
23	в данном случае	3	3
24	в связи с	3	3
25	того или иного	3	3
26	тех или иных	2	3
27	сама по себе	11	3
28	а не только	2	2
29	и в частности	2	2
30	не только не	7	2
31	мы не можем	2	2
32	тот или иной	2	2
33	ни в чем	2	2
34	в нем не	2	2
35	вовсе не в	3	2
36	о том что	6	2
37	иметь в виду	3	2
38	что он есть	4	2
39	для нас в	2	2
40	хотя и не	2	2
41	и не только	5	2
42	в то время	6	2
43	этой точки зрения	4	2
44	то время как	6	2
45	и в этом	4	2
46	с этой точки	4	2
47	то или иное	4	2
48	тем не менее	10	2
49	не только о	3	2
