N	2gram	Trubetskoy	Sotsiolo
1	все это	6	7
2	в том	17	5
3	в этом	17	5
4	для нас	2	3
5	не только	9	3
6	и только	5	3
7	в его	4	3
8	не в	4	3
9	и в	14	3
10	она может	3	2
11	должна быть	2	2
12	по отношению	2	2
13	еще не	3	2
14	только в	5	2
15	что в	4	2
16	в частности	2	2
17	том что	9	2
18	было бы	5	2
19	таким образом	11	2
20	то же	11	2
21	как будто	2	2
22	и что	2	2
23	конце концов	3	2
24	то что	13	2
25	как бы	4	2
26	но и	10	2
27	главным образом	3	2
28	в конце	3	2
29	может быть	9	2
30	по существу	5	2
31	в результате	2	2
