N	3gram	Bakhtin_Fr	Vvedenie
1	для того чтобы	2	22
2	в том что	6	15
3	о том что	3	13
4	не может быть	5	10
5	до сих пор	7	7
6	в применении к	3	6
7	в то же	5	6
8	то же время	5	6
9	во всяком случае	2	5
10	на этот вопрос	2	5
11	не только в	5	4
12	и в том	2	4
13	в этом отношении	5	4
14	но все же	3	4
15	с одной стороны	2	4
16	по отношению к	2	4
17	в отличие от	4	4
18	с точки зрения	6	4
19	по сравнению с	2	4
20	той или иной	5	3
21	как мы видели	2	3
22	большей или меньшей	7	3
23	можно сказать что	3	3
24	в свое время	5	3
25	дело в том	2	3
26	в собственном смысле	3	3
27	но в то	2	3
28	во второй половине	2	2
29	второй половины xix	2	2
30	как мы уже	8	2
31	в значительной мере	3	2
32	подобно тому как	2	2
33	в целом ряде	2	2
34	вовсе не в	2	2
35	в другом месте	2	2
36	в известной мере	6	2
37	не могут быть	2	2
