N	2gram	Tiupa_Narr	Myshleni
1	в том	20	195
2	внутренней речи	3	191
3	в этом	23	167
4	то что	14	166
5	и в	22	162
6	том что	15	161
7	таким образом	5	147
8	точки зрения	8	143
9	с помощью	2	131
10	что в	6	119
11	не только	50	116
12	того что	7	109
13	в процессе	2	101
14	так же	2	100
15	потому что	7	95
16	того чтобы	7	91
17	может быть	24	89
18	с точки	2	89
19	что он	7	86
20	не может	16	81
21	как и	15	79
22	для того	4	78
23	и не	34	78
24	только в	23	75
25	в целом	5	74
26	как мы	3	72
27	но и	39	70
28	в его	12	67
29	сказать что	5	65
30	как бы	11	64
31	вместе с	3	62
32	в качестве	27	60
33	было бы	2	60
34	представляет собой	21	60
35	то же	12	58
36	что мы	2	53
37	в силу	5	53
38	между собой	3	53
39	в самом	8	52
40	в сущности	2	51
41	к тому	13	49
42	мы можем	2	48
43	мы не	5	47
44	если бы	9	46
45	но не	7	45
46	с другой	6	45
47	по отношению	5	45
48	тем самым	9	43
49	же как	2	43
50	как это	7	42
51	тому что	4	42
52	отношению к	5	42
53	в ходе	4	41
54	не является	7	41
55	по своей	3	40
56	одной стороны	5	40
57	о том	5	40
58	так и	12	39
59	никогда не	8	39
60	с одной	5	39
61	в области	4	38
62	не в	12	37
63	в этой	8	37
64	и к	7	37
65	в своем	7	36
66	все эти	3	36
67	и его	12	36
68	как в	9	36
69	а не	27	36
70	того же	2	35
71	можно было	2	35
72	он не	8	35
73	в которой	2	35
74	в себе	14	35
75	для себя	3	35
76	и т.д	7	35
77	и как	4	34
78	связи с	3	34
79	приводит к	2	34
80	при этом	31	33
81	прежде всего	7	33
82	по себе	4	33
83	что и	3	32
84	именно в	5	32
85	по своему	3	32
86	же самое	3	32
87	но в	10	32
88	той же	2	32
89	и тем	9	32
90	и на	5	32
91	и то	3	31
92	все же	10	31
93	этом отношении	5	30
94	на то	4	30
95	между тем	5	29
96	как известно	3	29
97	переход от	2	28
98	самом деле	4	28
99	что с	2	28
100	в своей	8	27
101	только что	4	27
102	с этой	3	27
103	в результате	4	27
104	в то	9	27
105	перед нами	9	27
106	другой стороны	2	27
107	и с	3	27
108	в частности	23	26
109	что это	4	26
110	для него	8	26
111	по мере	2	25
112	еще не	6	25
113	что она	3	25
114	это не	6	25
115	только не	2	25
116	в чем	3	25
117	можно сказать	11	25
118	в какой	2	24
119	в нем	9	24
120	зависимости от	3	24
121	на этот	2	24
122	в слове	4	24
123	в сфере	2	24
124	как он	3	23
125	состоит в	19	23
126	друг друга	2	23
127	бы в	2	23
128	слова в	4	23
129	в известном	4	22
130	во всяком	2	22
131	в зависимости	3	22
132	столь же	6	22
133	отношение к	2	21
134	все время	2	21
135	и более	2	21
136	в нашем	4	21
137	к этому	2	21
138	и все	7	21
139	между ними	3	21
140	и ее	3	21
141	не имеет	3	21
142	в сознании	6	21
143	в котором	3	20
144	в виду	2	20
145	а в	19	20
146	из них	4	20
147	как раз	9	20
148	в другом	5	20
149	едва ли	5	20
150	как показывает	2	20
151	не менее	6	20
152	из этих	6	20
153	для других	3	19
154	в данном	17	19
155	в себя	3	19
156	с ним	6	19
157	в той	4	19
158	как на	2	19
159	а с	2	19
160	и по	3	19
161	в речи	5	19
162	во всех	2	19
163	мы и	2	19
164	один из	8	19
165	в связи	3	19
166	отличие от	6	18
167	одного и	2	18
168	всяком случае	2	18
169	но это	2	18
170	в отличие	6	18
171	сих пор	3	17
172	и для	4	17
173	все что	4	17
174	в своих	2	17
175	в свою	4	17
176	и того	5	17
177	в одном	5	17
178	и от	3	17
179	казалось бы	2	17
180	то и	3	17
181	и только	2	17
182	в этих	3	17
183	их в	4	17
184	тем же	3	17
185	до конца	2	17
186	я не	5	17
187	у него	13	17
188	до сих	3	17
189	перехода от	2	16
190	вовсе не	2	16
191	тому как	4	16
192	по поводу	3	16
193	для нас	2	16
194	между двумя	6	16
195	то в	4	16
196	и даже	4	16
197	мы имеем	6	16
198	данном случае	12	15
199	известном смысле	4	15
200	тем более	2	15
201	но как	3	15
202	в начале	4	15
203	со всеми	3	15
204	подобно тому	4	15
205	представить себе	3	15
206	хотя бы	4	15
207	как она	2	15
208	ничего не	8	15
209	и является	2	15
210	точку зрения	3	14
211	точка зрения	5	14
212	что у	6	14
213	одной из	2	14
214	который в	2	14
215	один и	2	14
216	одно и	2	14
217	о чем	6	14
218	свою очередь	2	14
219	об этом	8	14
220	с его	6	14
221	одним из	2	14
222	и здесь	3	14
223	не можем	2	14
224	этих двух	2	14
225	она не	2	13
226	лишь в	3	13
227	значения и	2	13
228	в виде	2	13
229	точно так	2	13
230	имеет место	4	13
231	они не	3	13
232	отнюдь не	6	13
233	к его	5	13
234	в действительности	2	13
235	если в	2	13
236	и потому	2	12
237	и составляет	2	12
238	в ее	4	12
239	в первом	4	12
240	никак не	5	12
241	тем не	7	12
242	входит в	2	12
243	это и	2	12
244	в ней	5	12
245	от его	2	12
246	только к	3	12
247	ясно что	2	12
248	только на	4	12
249	к нему	5	12
250	к другому	2	12
251	тому же	9	12
252	но он	2	12
253	в конце	4	11
254	одно из	2	11
255	идет о	3	11
256	иначе говоря	14	11
257	с собой	2	11
258	на том	2	11
259	ответ на	6	11
260	например в	2	11
261	в других	2	11
262	в пределах	2	11
263	с ее	3	11
264	раз в	4	11
265	ключ к	2	11
266	наряду с	2	11
267	что на	4	11
268	и наконец	2	11
269	нас в	2	11
270	или менее	2	11
271	не знает	2	11
272	не столько	2	11
273	не по	5	11
274	с той	2	10
275	у нас	4	10
276	если не	4	10
277	в следующем	2	10
278	или иной	6	10
279	вслед за	4	10
280	речь идет	3	10
281	одного из	6	10
282	представляют собой	5	10
283	опирается на	2	10
284	речевой деятельности	2	10
285	в конечном	6	10
286	но для	5	10
287	всякий раз	2	10
288	на друга	2	10
289	во второй	2	10
290	и т.п	11	10
291	внимание на	7	10
292	в случае	4	10
293	чем это	2	10
294	и у	4	10
295	к жизни	3	10
296	не могло	3	10
297	друг на	2	10
298	чем он	3	10
299	что именно	2	10
