N	3gram	Medvedev_V	Myshleni
1	в том что	5	133
2	для того чтобы	3	78
3	по отношению к	7	42
4	с одной стороны	2	39
5	в этом отношении	14	30
6	можно было бы	2	28
7	с другой стороны	8	26
8	вместе с тем	4	26
9	о том что	3	25
10	не может быть	8	23
11	к тому что	4	22
12	в зависимости от	5	22
13	можно сказать что	4	21
14	не только не	2	21
15	во всяком случае	2	18
16	этой точки зрения	2	17
17	до сих пор	2	17
18	в связи с	4	17
19	мы видели что	3	14
20	подобно тому как	3	14
21	в другом месте	2	13
22	в том чтобы	2	12
23	одной стороны и	2	10
24	в том числе	2	10
25	от того что	2	10
26	том числе и	2	10
27	в конечном счете	5	9
28	более или менее	6	9
29	не могут быть	4	8
30	в этой области	3	8
31	в силу этого	4	8
32	только в том	2	8
33	о том как	3	7
34	приводит к тому	2	7
35	по этому поводу	7	7
36	одном и том	2	6
37	и том же	2	6
38	и не может	2	6
39	в этом и	2	6
40	только то что	2	6
41	не может не	2	5
42	в конце концов	2	5
43	мы знаем что	2	5
44	в то же	5	5
45	этом и заключается	2	5
46	что все эти	2	5
47	не только в	2	5
48	уже по одному	2	5
49	после того как	2	4
50	ни один из	2	4
51	таким образом в	2	4
52	не могут не	2	4
53	в силу чего	2	4
54	в значительной мере	3	3
55	та или иная	3	3
56	хотя бы и	5	3
57	всего сказанного выше	2	3
58	то же время	5	3
59	и в другом	2	3
60	хотя бы в	3	3
61	во всех этих	2	2
62	в том отношении	2	2
63	в результате чего	2	2
64	в этом процессе	2	2
65	в одном из	4	2
66	в частности в	2	2
67	и никогда не	2	2
68	по этому вопросу	2	2
69	каждой из этих	2	2
70	одному тому что	2	2
71	в чем же	2	2
72	таким образом не	3	2
73	таким образом по	2	2
74	не только для	2	2
75	нет никаких оснований	2	2
76	по одному тому	2	2
