N	2gram	Vygotskiy_	UchenyiS
1	и в	65	14
2	не только	16	10
3	а не	11	10
4	и не	20	8
5	прежде всего	2	8
6	то что	61	7
7	не может	17	7
8	в этом	37	7
9	в искусстве	2	6
10	может быть	33	6
11	и только	8	5
12	то же	17	5
13	хотя бы	3	5
14	все это	12	5
15	художественное произведение	2	5
16	в конечном	2	4
17	но и	6	4
18	в этой	20	4
19	что такое	2	4
20	с другой	8	4
21	в их	3	4
22	конечно не	6	4
23	у нас	4	3
24	в частности	3	3
25	для этого	9	3
26	не следует	3	3
27	это не	7	3
28	формы в	2	3
29	очевидно что	4	3
30	и то	10	3
31	в своей	6	3
32	все же	10	3
33	как и	12	3
34	в то	5	3
35	но в	5	3
36	и формы	2	3
37	было бы	22	3
38	другой стороны	5	3
39	для него	4	3
40	в самом	41	2
41	в себе	9	2
42	что мы	6	2
43	материала и	2	2
44	на эту	2	2
45	же самое	14	2
46	что он	23	2
47	надо было	3	2
48	таким образом	21	2
49	но не	3	2
50	и для	4	2
51	если бы	22	2
52	более чем	2	2
53	между тем	10	2
54	самом деле	33	2
55	только в	9	2
56	одним из	2	2
57	что она	34	2
58	ничего не	4	2
59	всех этих	2	2
60	и с	4	2
61	что и	7	2
62	при таком	4	2
63	не могут	2	2
64	смысле этого	5	2
65	это было	4	2
66	сих пор	6	2
67	по себе	5	2
68	тем что	7	2
69	том что	28	2
70	в сторону	2	2
71	в его	11	2
72	все они	3	2
73	в том	46	2
74	что все	10	2
75	художественного произведения	2	2
76	с его	2	2
77	как раз	14	2
78	должна быть	5	2
79	но это	6	2
80	для всех	2	2
81	по существу	4	2
82	не в	12	2
83	бы и	2	2
84	в конце	5	2
85	в некоторых	2	2
86	мы не	7	2
87	до сих	7	2
88	могли бы	6	2
89	именно как	3	2
