N	2gram	Vinokur_Ku	Istorich
1	и в	44	181
2	и т	62	160
3	т д	21	142
4	т е	54	133
5	может быть	25	115
6	не только	29	114
7	что он	7	111
8	мы имеем	11	102
9	что в	25	90
10	но и	13	85
11	в этом	31	81
12	так как	16	75
13	то что	14	73
14	таким образом	17	72
15	вместе с	8	71
16	и не	23	67
17	все же	17	65
18	в этих	5	64
19	еще не	10	63
20	не может	13	61
21	этих случаях	2	60
22	так же	8	57
23	то же	12	56
24	никогда не	2	56
25	в том	47	53
26	том что	30	53
27	с другой	14	52
28	а в	7	52
29	потому что	40	52
30	что и	5	51
31	и что	11	51
32	и здесь	8	51
33	мы видели	3	49
34	о том	10	48
35	а не	17	48
36	не в	18	47
37	другой стороны	12	46
38	превращается в	4	45
39	мы должны	2	44
40	но в	11	44
41	и пр	23	44
42	это не	13	43
43	и его	8	43
44	мы знаем	3	42
45	в нем	7	42
46	только в	15	42
47	как в	6	42
48	представление о	3	41
49	или в	5	39
50	в его	16	38
51	для нас	6	38
52	тем что	9	38
53	и на	8	38
54	так и	10	37
55	он не	4	37
56	уже не	13	37
57	как и	3	37
58	мы можем	2	36
59	мы увидим	3	36
60	знаем что	3	36
61	здесь мы	2	35
62	с тем	5	35
63	что они	5	35
64	все эти	17	35
65	не всегда	4	34
66	что это	11	34
67	но не	11	34
68	а именно	4	34
69	связи с	8	34
70	у него	3	34
71	там где	7	33
72	же как	3	33
73	об этом	4	33
74	сих пор	5	32
75	в качестве	12	32
76	так в	2	31
77	ничего не	6	31
78	прежде всего	14	31
79	один из	8	31
80	то это	3	31
81	с этим	6	30
82	до сих	5	30
83	с одной	3	30
84	но все	5	29
85	как мы	2	29
86	одной стороны	2	29
87	этом случае	4	29
88	но это	4	29
89	например в	5	28
90	что она	5	28
91	и с	11	28
92	так что	5	27
93	того что	11	27
94	могут быть	5	27
95	здесь можно	2	27
96	в ней	6	26
97	как это	6	26
98	предположить что	2	26
99	вопрос о	11	25
100	и он	4	25
101	было бы	28	24
102	если бы	21	24
103	что мы	6	24
104	к этому	4	24
105	не менее	12	24
106	видно что	2	24
107	того как	6	24
108	все это	10	23
109	когда он	4	23
110	тем не	10	23
111	в частности	6	23
112	точно так	4	23
113	в этой	8	23
114	и это	3	23
115	как бы	11	23
116	при этом	6	22
117	и по	4	22
118	с ним	5	22
119	совершенно ясно	2	21
120	в одном	4	21
121	сказать что	5	21
122	ее в	2	21
123	в другом	2	21
124	к тому	8	21
125	они не	4	21
126	здесь не	5	21
127	связано с	3	21
128	в связи	4	21
129	связан с	2	21
130	из них	4	20
131	после чего	2	20
132	в силу	16	20
133	наряду с	2	20
134	эти случаи	2	20
135	очень часто	2	20
136	из этих	5	20
137	так например	3	19
138	и как	3	19
139	после того	3	19
140	что у	3	19
141	на том	4	19
142	в тех	4	19
143	на то	6	19
144	но он	2	19
145	что этот	2	18
146	не все	4	18
147	в данном	8	18
148	вовсе не	18	18
149	в то	4	18
150	и говорит	2	18
151	по существу	9	17
152	то и	4	17
153	и только	2	17
154	очень много	3	17
155	том как	3	17
156	в них	10	17
157	дело не	4	17
158	то мы	4	16
159	всех этих	4	16
160	со стороны	8	16
161	перед нами	4	16
162	и все	4	16
163	в котором	4	16
164	этот вопрос	7	16
165	данном случае	2	15
166	в целом	5	15
167	на его	3	15
168	в своей	4	15
169	даже в	4	15
170	и то	7	15
171	случаи когда	3	15
172	в особенности	6	15
173	в пределах	8	15
174	и эти	3	15
175	и даже	5	15
176	в которых	8	15
177	как будто	2	15
178	но есть	2	15
179	и тем	7	15
180	и там	2	15
181	увидим что	2	15
182	отношение к	2	14
183	у нас	19	14
184	должна быть	6	14
185	а также	3	14
186	с этой	4	14
187	можно было	14	14
188	отношению к	9	14
189	из которых	3	14
190	и есть	3	14
191	по отношению	9	14
192	находится в	2	14
193	на себя	3	14
194	к своему	2	13
195	своего рода	4	13
196	что иное	2	13
197	и для	3	13
198	в таких	7	13
199	и от	2	13
200	тогда как	2	13
201	на этом	4	13
202	в своем	4	13
203	и у	3	13
204	не имеет	6	13
205	и если	4	13
206	в себе	4	13
207	с ними	6	13
208	не просто	7	13
209	в форме	3	13
210	по себе	10	13
211	не знаю	2	12
212	кроме того	2	12
213	в их	3	12
214	к этой	3	12
215	ответ на	2	12
216	как только	2	12
217	и их	2	12
218	одним из	2	12
219	в более	2	12
220	между прочим	4	12
221	утверждать что	2	12
222	хотя бы	19	12
223	чаще всего	2	12
224	случаях когда	2	12
225	к себе	4	12
226	о нем	2	12
227	не знает	4	12
228	что не	10	12
229	на более	3	12
230	и вот	4	11
231	от этого	4	11
232	е в	3	11
233	и более	3	11
234	связанные с	3	11
235	относится к	3	11
236	главным образом	3	11
237	точки зрения	25	11
238	хотя и	7	11
239	интересно что	2	11
240	но уже	6	11
241	уже в	5	11
242	иное как	3	11
243	тех случаях	2	11
244	далеко не	2	11
245	же в	5	11
246	ясно что	7	11
247	к которому	3	11
248	этого не	5	11
249	я не	5	11
250	не что	2	11
251	по мере	3	11
252	но оно	2	11
253	должны быть	4	11
254	на этой	4	10
255	что же	11	10
256	в ее	2	10
257	почти всегда	3	10
258	но если	2	10
259	указывает на	2	10
260	но как	2	10
261	связанных с	2	10
262	за собой	2	10
263	если не	4	10
264	как правило	2	10
265	что эти	4	10
266	к ним	2	10
267	не мог	2	10
268	на основе	2	10
269	в состоянии	2	10
270	не как	2	10
271	а с	3	10
272	но так	2	10
273	а если	5	10
274	в точности	2	10
