N	2gram	Tiupa_Disk	slovoVRo
1	и в	27	92
2	то есть	29	64
3	в нем	16	59
4	может быть	29	59
5	и его	4	59
6	и не	25	51
7	не только	36	44
8	не может	17	41
9	но и	22	39
10	до конца	2	37
11	в этом	29	36
12	а не	35	34
13	во всех	6	32
14	так и	14	30
15	точки зрения	6	30
16	могут быть	5	29
17	и др	3	29
18	языка и	3	29
19	в пределах	4	29
20	в его	9	27
21	романного жанра	3	26
22	слова в	2	26
23	все это	2	25
24	слова и	2	24
25	как бы	9	24
26	чужой речи	2	23
27	то же	12	23
28	и на	8	22
29	не в	8	21
30	в сущности	3	21
31	как в	16	21
32	в то	8	20
33	в процессе	6	20
34	прежде всего	17	19
35	как мы	2	19
36	или иной	8	18
37	как и	27	18
38	себя в	8	18
39	же время	9	18
40	все же	8	17
41	оно не	2	17
42	все эти	2	17
43	в истории	5	17
44	в основе	11	17
45	и даже	4	17
46	в большинстве	3	17
47	таким образом	4	17
48	к своему	2	16
49	отличие от	13	16
50	при этом	22	16
51	в них	6	16
52	но в	15	16
53	той или	6	15
54	и с	2	15
55	в той	2	15
56	с точки	3	15
57	в отличие	13	14
58	романа и	2	14
59	так сказать	3	14
60	только в	9	14
61	это не	5	13
62	точка зрения	3	13
63	с его	9	13
64	в особенности	5	13
65	с другой	14	13
66	никогда не	3	12
67	и потому	3	12
68	отношение к	6	12
69	а в	5	12
70	или в	2	12
71	во всяком	3	12
72	и наконец	2	12
73	еще не	20	12
74	и к	4	12
75	один из	3	11
76	большинстве случаев	2	11
77	на его	4	11
78	одной стороны	12	11
79	в этих	4	11
80	с одной	12	11
81	для него	9	11
82	в своем	11	10
83	в том	29	10
84	и все	5	10
85	в себе	22	10
86	лишь в	4	10
87	в языке	2	10
88	далеко не	10	10
89	уже не	7	10
90	зрения на	3	10
91	и от	2	9
92	одним из	2	9
93	или менее	2	9
94	более того	2	9
95	более или	2	9
96	здесь в	4	9
97	в их	5	9
98	в своей	10	9
99	этом случае	3	9
100	сказать что	4	9
101	с ее	3	9
102	героя и	2	9
103	но не	17	9
104	на почве	3	9
105	он не	4	9
106	быть и	2	9
107	не могут	2	8
108	в одной	4	8
109	для понимания	2	8
110	в ней	2	8
111	не на	3	8
112	с этим	3	8
113	в значительной	3	8
114	человека в	6	8
115	в самом	4	8
116	входит в	2	8
117	всяком случае	2	8
118	перед нами	4	7
119	том что	27	7
120	друг друга	2	7
121	по преимуществу	2	7
122	о нем	3	7
123	того же	5	7
124	но здесь	2	7
125	в целом	5	7
126	связи с	4	7
127	известной степени	3	7
128	например в	4	7
129	значительной степени	3	7
130	за пределы	2	7
131	но все	2	7
132	также и	6	7
133	жизни и	2	7
134	не было	9	7
135	во всем	2	7
136	слово не	2	6
137	как к	2	6
138	роль в	10	6
139	на этом	3	6
140	а также	15	6
141	одновременно и	3	6
142	что в	8	6
143	ни в	7	6
144	в контексте	3	6
145	дело с	2	6
146	большей или	2	6
147	или меньшей	2	6
148	в качестве	45	6
149	можно сказать	7	6
150	другой стороны	5	6
151	говорить о	3	6
152	стороны и	3	6
153	хотя бы	3	6
154	именно в	5	6
155	в свою	3	6
156	себя и	2	6
157	по себе	3	6
158	в одном	5	6
159	эпохи и	2	6
160	мира и	3	6
161	по своим	4	6
162	между тем	5	6
163	становления и	4	6
164	слова не	3	5
165	в каждом	2	5
166	не как	5	5
167	героя в	6	5
168	только на	2	5
169	этого жанра	3	5
170	не знает	4	5
171	стремится к	3	5
172	не менее	6	5
173	отношению к	13	5
174	дистанции между	2	5
175	мы не	2	5
176	и по	2	5
177	хотя и	3	5
178	или напротив	3	5
179	в данном	9	5
180	по отношению	13	5
181	с их	3	5
182	в результате	3	5
183	и может	3	5
184	этом отношении	4	5
185	не является	5	5
186	жанров в	5	5
187	должна быть	2	5
188	на протяжении	2	5
189	не с	4	5
190	они не	2	5
191	речи в	2	5
192	о том	12	5
193	к его	5	5
194	жанра в	4	5
195	той же	2	5
196	уже в	2	5
197	или даже	2	5
198	и сам	2	5
199	в противовес	4	5
200	как его	2	5
201	вместе с	3	5
202	в различных	2	4
203	для всех	2	4
204	в построении	2	4
205	но как	2	4
206	и ее	5	4
207	о романе	2	4
208	в другом	5	4
209	что и	5	4
210	в виду	2	4
211	что он	6	4
212	не всегда	2	4
213	однако в	3	4
214	свою очередь	3	4
215	говорящего и	3	4
216	в частности	18	4
217	того что	4	4
218	речи и	2	4
219	в чем	2	4
220	не столько	3	4
221	и во	2	4
222	одно и	2	4
223	одной из	4	4
224	характер и	3	4
225	но это	3	4
226	его как	3	4
227	дело не	3	4
228	в которой	2	4
229	и как	9	4
230	языка с	2	4
231	с этой	2	4
232	и о	4	4
233	к тому	6	4
234	в литературе	2	4
235	из них	6	4
236	влияния на	2	4
237	отношения к	2	4
238	в себя	7	4
239	чем он	2	4
240	данном случае	6	3
241	время и	2	3
242	речи как	2	3
243	до известной	2	3
244	но она	3	3
245	в новом	2	3
246	такого рода	11	3
247	и вне	2	3
248	в одно	2	3
249	в свое	3	3
250	как это	2	3
251	может и	4	3
252	они были	2	3
253	не приходится	2	3
254	на том	2	3
255	не требует	3	3
256	его с	2	3
257	и без	2	3
258	рассказчика и	3	3
259	говорит и	2	3
260	между собой	2	3
261	не предполагает	4	3
262	различия между	3	3
263	и до	2	3
264	того и	2	3
265	в первом	4	3
266	интерес к	2	3
267	и то	4	3
268	и вообще	2	3
269	или иного	2	3
270	произведения как	2	3
271	к этому	4	3
272	того или	3	3
273	из этих	3	3
274	подход к	4	3
275	однако и	2	3
276	высказывания и	3	3
277	дело в	3	3
278	должно быть	2	3
279	в составе	5	3
280	это было	2	3
281	отличается от	3	3
282	в чужой	2	3
283	на него	2	3
284	но уже	3	3
285	тем что	4	3
286	сознания в	2	3
287	жизни в	4	3
288	нас в	2	3
289	не могло	2	3
290	рассказ в	2	3
291	или на	3	3
292	внутренней речи	5	3
293	не должно	2	3
294	не есть	3	3
295	в этой	5	3
296	потому что	7	3
297	целый ряд	2	3
298	и это	3	3
299	эти жанры	2	3
300	в форме	2	3
301	и тем	2	3
302	автор и	3	3
303	миров и	2	2
304	ни о	2	2
305	которое может	2	2
306	жанры в	2	2
307	однако на	2	2
308	к себе	2	2
309	по своей	15	2
310	и есть	2	2
311	это и	2	2
312	здесь это	2	2
313	не столь	2	2
314	и композиционно	2	2
315	как уже	5	2
316	своего времени	2	2
317	к различным	2	2
318	есть в	3	2
319	самого начала	2	2
320	а с	8	2
321	то что	10	2
322	х годов	2	2
323	по своему	3	2
324	одного из	5	2
325	с самого	2	2
326	в едином	2	2
327	к ним	3	2
328	высказывания в	7	2
329	в сторону	4	2
330	общему мнению	2	2
331	к лирике	2	2
332	и само	2	2
333	которая в	3	2
334	лежит на	2	2
335	и т.п	18	2
336	к такому	2	2
337	что не	4	2
338	место в	2	2
339	и герой	3	2
340	в ее	4	2
341	в пределе	2	2
342	в историческом	2	2
343	указать на	3	2
344	на языке	3	2
345	требует от	2	2
346	и иные	2	2
