N	2gram	Bakhtin_sl	Sotsiolo
1	все это	14	7
2	в том	7	5
3	в этом	21	5
4	для нас	7	3
5	не только	37	3
6	и только	2	3
7	в его	19	3
8	не в	14	3
9	и в	69	3
10	дело не	2	2
11	должна быть	3	2
12	отношению к	2	2
13	по отношению	2	2
14	еще не	9	2
15	только в	9	2
16	что в	3	2
17	в частности	3	2
18	том что	6	2
19	было бы	3	2
20	таким образом	16	2
21	в смысле	7	2
22	то же	17	2
23	только как	2	2
24	и что	2	2
25	как только	4	2
26	исторического развития	2	2
27	то что	2	2
28	как бы	16	2
29	но и	37	2
30	исторической жизни	3	2
31	за пределы	6	2
32	или даже	5	2
33	далеко не	7	2
34	может быть	40	2
35	по существу	3	2
36	в результате	4	2
