N	2gram	Berdyaev_O	VerxiiNi
1	и в	19	26
2	с тем	2	18
3	в этом	12	15
4	как бы	3	12
5	в том	5	11
6	не только	11	10
7	и с	2	10
8	может быть	11	10
9	что в	4	9
10	так как	2	9
11	но и	13	9
12	и не	13	8
13	к нему	3	7
14	потому что	9	7
15	то что	5	7
16	но в	2	7
17	том что	2	7
18	все же	2	6
19	о том	3	6
20	в себе	3	6
21	что и	2	6
22	все эти	4	6
23	все это	6	6
24	и потому	2	6
25	так и	2	6
26	никогда не	9	5
27	и для	2	5
28	не имеет	2	5
29	и к	2	5
30	отношение к	5	5
31	того чтобы	4	5
32	лишь в	7	5
33	в его	7	5
34	для того	3	5
35	а не	11	5
36	и от	3	4
37	что все	2	4
38	а в	5	4
39	в самом	5	4
40	в нем	10	4
41	не может	4	4
42	должен был	2	4
43	в этих	3	4
44	что он	3	4
45	он не	7	4
46	в этой	5	4
47	учение о	2	4
48	в своем	2	3
49	хотя бы	3	3
50	и нет	2	3
51	к этому	2	3
52	в которой	2	3
53	в других	2	3
54	на западе	2	3
55	когда он	3	3
56	подойти к	2	3
57	так что	2	3
58	и о	2	3
59	русского народа	2	3
60	того что	3	3
61	для него	5	3
62	одно из	2	2
63	сказать что	2	2
64	не могут	3	2
65	в россии	5	2
66	в самой	9	2
67	он в	2	2
68	ни у	2	2
69	и на	2	2
70	уже в	2	2
71	еще не	3	2
72	мысль о	2	2
73	все что	3	2
74	не было	9	2
75	от человека	2	2
76	не в	11	2
77	и все	10	2
78	прежде всего	9	2
79	его не	2	2
80	и из	2	2
81	с его	4	2
