N	3gram	Trubetskoy	Vvedenie
1	для того чтобы	6	22
2	в том что	7	15
3	о том что	2	13
4	не может быть	4	10
5	до сих пор	5	7
6	в то же	10	6
7	в этом случае	3	6
8	то же время	10	6
9	во всяком случае	6	5
10	и в том	2	4
11	в данном случае	3	4
12	с точки зрения	9	4
13	можно было бы	3	4
14	вместе с тем	3	3
15	той или иной	3	3
16	чтобы понять что	2	3
17	сама по себе	2	3
18	и то что	3	3
19	не могут не	2	2
20	в значительной мере	2	2
21	в конце концов	3	2
22	а между тем	5	2
23	точно так же	2	2
24	только в том	2	2
