N	2gram	Voloshinov	Poddanst
1	не только	4	17
2	и в	12	14
3	и не	10	12
4	в этом	4	10
5	в отношении	2	10
6	но в	5	9
7	то же	5	9
8	в том	6	9
9	хотя бы	5	8
10	в пределах	3	8
11	в то	2	7
12	только в	6	7
13	но и	3	6
14	в ней	6	6
15	с другой	4	5
16	не в	4	5
17	отношении к	3	5
18	и пр	3	5
19	может быть	14	5
20	по себе	3	4
21	что в	2	4
22	если бы	9	4
23	и потому	2	4
24	в своем	2	4
25	том что	5	4
26	в котором	3	4
27	и к	4	4
28	как бы	13	4
29	то что	5	4
30	не может	16	4
31	что мы	5	3
32	но не	2	3
33	это не	2	3
34	с точки	2	3
35	мы не	3	3
36	в себе	3	3
37	точки зрения	14	3
38	одной стороны	2	3
39	в нем	6	3
40	между тем	3	3
41	могут быть	2	3
42	прежде всего	8	3
43	с одной	2	3
44	для нас	7	2
45	да и	3	2
46	в них	3	2
47	в жизни	5	2
48	не к	3	2
49	стороны и	2	2
50	слова но	2	2
51	точек зрения	3	2
52	сколько бы	3	2
53	в его	2	2
54	не менее	3	2
55	все это	3	2
56	как на	2	2
57	а не	5	2
58	и с	3	2
59	того что	3	2
60	отнюдь не	5	2
