N	3gram	Tiupa_Anal	slovoVRo
1	и т п	3	72
2	не может быть	17	19
3	в то же	9	18
4	то же время	7	18
5	той или иной	8	15
6	с точки зрения	6	15
7	в отличие от	8	14
8	в той или	3	13
9	с одной стороны	6	11
10	более или менее	2	9
11	в этом случае	4	9
12	но в то	2	7
13	большей или меньшей	4	6
14	с другой стороны	2	6
15	в том что	13	5
16	в этом отношении	5	5
17	не только в	3	5
18	по отношению к	9	5
19	для того чтобы	3	4
20	друг с другом	2	4
21	и не может	4	4
22	не могут быть	2	4
23	одно и то	2	3
24	в широком смысле	2	3
25	к тому что	2	3
26	и то же	2	3
27	как и в	2	3
28	в данном случае	3	3
29	в связи с	2	3
30	и не в	4	3
31	того или иного	3	3
32	тех или иных	3	3
33	а не только	2	2
34	не только не	2	2
35	между тем как	2	2
36	в первом случае	2	2
37	далеко не всегда	2	2
38	дело не с	2	2
39	о том что	8	2
40	в известном смысле	2	2
41	в том и	2	2
42	но и в	3	2
43	этой точки зрения	2	2
44	и в этом	4	2
45	с этой точки	2	2
46	тем не менее	3	2
