N	2gram	Trubetskoy	Tragedij
1	и в	14	18
2	в этом	17	9
3	не только	9	8
4	и не	19	7
5	он сам	3	7
6	и на	5	7
7	как бы	4	7
8	и с	7	7
9	может быть	9	7
10	же время	10	6
11	что он	6	6
12	но в	2	6
13	у него	2	6
14	несмотря на	3	5
15	что это	3	5
16	все же	4	5
17	то же	11	5
18	как и	4	5
19	не может	22	5
20	в то	10	5
21	что в	4	4
22	еще не	3	4
23	но и	10	4
24	прежде всего	8	4
25	том что	9	4
26	в этой	4	4
27	и что	2	4
28	так же	2	4
29	все это	6	4
30	в нем	5	4
31	то что	13	4
32	но это	2	4
33	и даже	2	4
34	в себе	9	4
35	и как	3	3
36	в мире	4	3
37	тем самым	2	3
38	к нему	2	3
39	в своем	6	3
40	при этом	5	3
41	в его	4	3
42	что с	2	3
43	все эти	2	3
44	отнюдь не	7	3
45	как будто	2	3
46	должно быть	3	3
47	для него	6	3
48	в конце	3	3
49	с ним	2	3
50	никогда не	5	2
51	в самом	3	2
52	и то	4	2
53	данном случае	3	2
54	с тем	6	2
55	одна из	3	2
56	даже если	2	2
57	точно так	2	2
58	друг друга	3	2
59	тем что	3	2
60	вопрос о	5	2
61	его в	4	2
62	в виде	3	2
63	в данном	7	2
64	не могут	4	2
65	что все	3	2
66	вряд ли	3	2
67	к тому	7	2
68	о том	7	2
69	что и	3	2
70	ни в	2	2
71	не в	4	2
72	потому что	5	2
73	не просто	2	2
74	в частности	2	2
75	в таком	2	2
76	так что	2	2
77	он не	5	2
78	уже не	2	2
79	только к	3	2
80	не так	2	2
81	в том	17	2
82	в глазах	2	2
