N	2gram	Medvedev_S	EvropaiC
1	таким образом	2	34
2	в том	5	31
3	и в	3	24
4	том что	2	20
5	то что	2	18
6	может быть	2	17
7	в этом	5	13
8	все это	7	13
9	по отношению	2	11
10	но и	2	11
11	отношению к	2	11
12	не только	3	10
13	как бы	2	10
14	в результате	2	9
15	не в	3	9
16	что в	2	9
17	и что	2	9
18	по существу	2	7
19	только в	2	6
20	еще не	2	6
21	должна быть	2	6
22	далеко не	2	5
23	в его	3	5
24	как будто	2	5
25	в конце	2	4
26	конце концов	2	4
27	то же	2	4
28	тем более	2	3
29	очевидно что	2	3
30	для нас	3	3
31	было бы	2	3
32	в частности	2	2
33	исторического развития	2	2
34	и только	3	2
