N	3gram	Tiupa_Hudo	Myslijsy
1	в том что	15	47
2	по отношению к	15	26
3	не может быть	5	19
4	тем не менее	6	18
5	и т д	5	15
6	то же время	11	13
7	в то же	11	13
8	а между тем	3	13
9	не в том	2	13
10	только в том	4	12
11	до сих пор	3	12
12	и в этом	3	12
13	и т п	10	11
14	подобно тому как	4	11
15	для того чтобы	2	11
16	но тем не	2	10
17	то что я	2	10
18	с одной стороны	4	10
19	то и другое	2	9
20	о том что	14	9
21	на то что	2	9
22	только потому что	2	8
23	как и в	5	7
24	не только не	3	7
25	не только в	4	7
26	с точки зрения	5	7
27	то же самое	3	6
28	друг от друга	2	6
29	в том случае	2	5
30	если бы не	2	5
31	к тому что	8	5
32	в данном случае	3	4
33	и в самом	4	4
34	в этом отношении	4	4
35	что же касается	2	3
36	в первом случае	2	3
37	столь же мало	2	3
38	что он не	3	3
39	можно было бы	5	3
40	между тем в	2	3
41	в связи с	3	3
42	так или иначе	3	3
43	но при этом	3	2
44	но и для	2	2
45	не только для	2	2
46	в этих словах	2	2
47	том случае если	2	2
48	так же как	2	2
49	о том как	4	2
50	состоит в том	3	2
51	но все же	2	2
52	и быть может	3	2
53	же самое что	2	2
