N	2gram	Voloshinov	Mirosoze
1	и в	32	97
2	может быть	50	64
3	не только	18	63
4	это –	12	56
5	в этом	27	55
6	но и	17	54
7	он не	5	53
8	а не	15	53
9	в нем	17	49
10	не может	40	49
11	у него	2	47
12	и не	42	39
13	никогда не	7	38
14	потому что	2	37
15	в ней	5	37
16	не было	6	36
17	не в	13	34
18	и есть	3	33
19	для него	18	31
20	человека в	3	30
21	есть лишь	2	30
22	не есть	6	30
23	прежде всего	19	29
24	как и	19	29
25	но в	13	27
26	и он	4	27
27	и это	6	25
28	в своей	5	25
29	он был	2	25
30	и все	8	24
31	у нас	4	24
32	он –	3	23
33	в своем	3	23
34	что в	5	23
35	что он	5	22
36	в самом	14	21
37	в себе	5	20
38	до конца	6	19
39	как бы	31	19
40	в его	10	18
41	и потому	7	17
42	того что	5	17
43	в том	13	16
44	том что	12	16
45	то что	12	16
46	было бы	8	16
47	и его	33	16
48	в этой	3	15
49	не знает	4	15
50	в котором	6	15
51	нет ничего	4	14
52	в конце	5	14
53	она не	2	14
54	так как	5	14
55	и вот	2	13
56	друг друга	10	13
57	и на	8	13
58	это не	5	12
59	к нему	5	12
60	смысле слова	4	12
61	все это	4	12
62	– не	11	12
63	но не	2	12
64	менее всего	5	11
65	хотя бы	8	11
66	в которой	4	11
67	только в	14	11
68	как в	5	11
69	и для	15	11
70	в русской	3	11
71	уже не	2	11
72	и к	3	11
73	жизни и	4	11
74	не могут	4	10
75	так же	10	10
76	это и	3	10
77	должна быть	6	10
78	то же	19	10
79	связана с	4	10
80	не имеет	6	10
81	бы и	2	9
82	xix века	4	9
83	а в	5	9
84	к тому	8	9
85	не будет	7	9
86	что и	5	9
87	и во	2	9
88	образ и	2	9
89	должно быть	4	9
90	то есть	2	9
91	в свою	6	9
92	лишь в	17	9
93	вместе с	2	9
94	вопрос о	6	8
95	ничего не	9	8
96	от него	4	8
97	в этих	2	8
98	не так	2	8
99	они не	2	8
100	мира и	2	8
101	что не	4	8
102	того чтобы	9	8
103	в отношении	7	8
104	– говорит	6	8
105	нет в	2	8
