N	3gram	Tiupa_Narr	Dialekti
1	с точки зрения	2	46
2	в том что	11	25
3	не может быть	6	18
4	тем не менее	6	16
5	то же время	7	15
6	в то же	7	14
7	одно и то	2	12
8	и то же	2	12
9	о том что	3	12
10	на то что	2	11
11	в самом деле	3	10
12	подобно тому как	4	9
13	не только не	2	8
14	той или иной	6	7
15	можно сказать что	5	7
16	сами по себе	2	7
17	точно так же	2	7
18	в связи с	3	7
19	более или менее	2	6
20	для того чтобы	4	6
21	во всяком случае	2	6
22	в зависимости от	3	6
23	с одной стороны	5	6
24	и в то	2	6
25	до сих пор	3	5
26	к тому что	4	5
27	то же самое	3	4
28	в данном случае	12	4
29	и т п	2	4
30	к тому же	8	4
31	в этом отношении	5	4
32	с той или	2	4
33	хотя и не	2	3
34	речь идет о	3	3
35	что это за	2	3
36	не только в	12	3
37	а стало быть	2	3
38	и не может	3	3
39	того или иного	3	3
40	ни о чем	2	2
41	в себе самом	2	2
42	стало быть и	2	2
43	не было и	2	2
44	перед нами не	2	2
45	в нем не	2	2
46	дело в том	2	2
47	в свою очередь	2	2
48	мы имеем дело	4	2
