N	3gram	Bakhtin_Fr	Literetu
1	в то же	12	21
2	то же время	12	21
3	в том что	4	21
4	по отношению к	3	12
5	с одной стороны	3	12
6	о том что	4	10
7	в этом отношении	3	10
8	с точки зрения	4	8
9	с другой стороны	2	7
10	в том числе	4	6
11	прежде всего в	4	5
12	в связи с	2	5
13	и прежде всего	2	4
14	в самом деле	3	3
15	том числе и	2	3
16	в одном из	2	3
17	в свою очередь	3	3
18	это прежде всего	3	2
19	за то что	4	2
20	в свое время	2	2
21	в другом месте	3	2
22	но и в	2	2
23	можно было бы	2	2
24	дело в том	2	2
25	в значительной степени	3	2
