N	2gram	Bakhtin_Pr	EvropaiE
1	и в	38	37
2	в пределах	6	25
3	точки зрения	8	23
4	что в	7	21
5	не только	9	18
6	с точки	6	17
7	в то	4	16
8	хотя бы	4	15
9	то же	5	15
10	в своем	5	14
11	но в	4	14
12	но и	9	14
13	и не	42	14
14	же время	3	14
15	в этом	15	12
16	в том	8	11
17	в их	10	11
18	в области	11	11
19	так и	5	10
20	не может	27	9
21	отнюдь не	19	9
22	в себе	4	9
23	прежде всего	13	9
24	только в	13	9
25	одной стороны	3	8
26	между тем	7	8
27	в ее	4	8
28	было бы	8	8
29	в своей	7	8
30	с одной	3	8
31	также и	3	7
32	с другой	7	7
33	как и	7	7
34	того что	2	7
35	том что	3	6
36	во всех	11	6
37	то есть	46	6
38	и даже	3	6
39	может быть	26	6
40	и на	3	6
41	того чтобы	2	6
42	для того	2	6
43	на то	2	6
44	то что	8	6
45	как бы	22	6
46	вовсе не	2	6
47	но не	12	5
48	тем самым	4	5
49	и потому	4	5
50	столь же	2	5
51	в россии	2	5
52	как мы	7	5
53	которую мы	3	5
54	не в	7	5
55	в виде	2	5
56	в частности	2	5
57	одной из	3	5
58	сказать что	4	4
59	не имеет	9	4
60	или иного	2	4
61	или иной	2	4
62	можно сказать	2	4
63	независимо от	13	4
64	в самом	7	4
65	в ней	4	4
66	несмотря на	3	4
67	ни было	3	4
68	той или	2	4
69	не на	5	4
70	как это	2	4
71	то ни	3	4
72	того или	2	4
73	бы то	3	4
74	чем в	2	4
75	никогда не	5	3
76	и от	3	3
77	и для	11	3
78	и только	4	3
79	о том	4	3
80	в данном	4	3
81	вообще не	7	3
82	можно было	4	3
83	этом смысле	3	3
84	в свою	2	3
85	и к	3	3
86	мы можем	6	3
87	последние годы	2	3
88	от них	2	3
89	и прежде	5	3
90	в них	5	3
91	место в	8	3
92	что и	2	3
93	отметить что	7	3
94	там где	6	3
95	и тем	3	3
96	не дает	2	3
97	тем что	2	3
98	этом отношении	2	3
99	не является	3	3
100	в культуре	2	3
101	не более	2	3
102	себе не	2	3
103	в таком	3	3
104	в применении	3	3
105	как в	4	3
106	в известной	3	3
107	применении к	3	3
108	большинстве случаев	5	3
109	дело в	2	3
110	известной степени	4	3
111	данном случае	4	2
112	для понимания	2	2
113	в мире	3	2
114	в его	43	2
115	не есть	6	2
116	что это	2	2
117	человеческой культуры	6	2
118	к нему	10	2
119	не могут	2	2
120	помнить что	3	2
121	она не	2	2
122	а в	6	2
123	мы должны	2	2
124	с другими	3	2
125	в котором	2	2
126	но как	2	2
127	далеко не	5	2
128	в своих	2	2
129	дело идет	2	2
130	в большинстве	5	2
131	и с	17	2
132	не нужно	5	2
133	могут быть	5	2
134	другой стороны	4	2
135	что все	2	2
136	между ними	4	2
137	в значительной	2	2
138	на них	3	2
139	и как	8	2
140	не можем	2	2
141	есть не	2	2
142	если бы	3	2
143	техника в	2	2
144	в этих	2	2
145	в других	4	2
146	а не	5	2
147	и других	2	2
148	и что	2	2
149	и во	2	2
150	или точнее	2	2
151	и наконец	6	2
152	можем сказать	2	2
153	точка зрения	3	2
154	и все	3	2
155	или в	2	2
156	таким образом	10	2
157	в истории	2	2
158	он не	3	2
159	культурного творчества	3	2
160	и эта	2	2
161	не к	6	2
162	в некоторых	2	2
163	но с	3	2
164	хотя и	3	2
165	в какой	2	2
166	должна быть	4	2
167	на основе	6	2
168	и более	2	2
169	имеет место	5	2
170	культуры и	3	2
