N	2gram	Medvedev_U	Psycholo
1	то что	7	193
2	и в	14	190
3	в том	2	163
4	том что	2	113
5	может быть	6	107
6	таким образом	2	102
7	в этом	7	100
8	в самом	2	82
9	что он	2	76
10	не только	10	75
11	и не	8	73
12	что она	2	71
13	самом деле	2	70
14	не может	7	68
15	было бы	3	56
16	если бы	2	55
17	то же	5	54
18	как и	3	51
19	что и	2	50
20	а не	10	50
21	только в	2	46
22	по себе	2	46
23	в искусстве	6	45
24	не в	2	45
25	в этой	4	43
26	но и	4	40
27	как раз	2	39
28	же самое	2	38
29	что все	2	33
30	все же	3	33
31	все это	5	32
32	художественного произведения	2	32
33	в себе	2	32
34	мы не	2	31
35	в его	2	31
36	и для	2	29
37	что мы	2	28
38	и то	3	28
39	с другой	4	27
40	художественной формы	2	25
41	художественное произведение	5	24
42	до сих	2	24
43	тем что	2	24
44	сих пор	2	23
45	для этого	3	23
46	могут быть	2	23
47	между тем	2	22
48	в своей	3	21
49	в конце	2	21
50	и только	5	21
51	в то	3	20
52	это не	3	20
53	другой стороны	3	20
54	но в	3	18
55	но не	2	18
56	у нас	3	17
57	но это	2	17
58	сводится к	2	16
59	формы и	2	16
60	искусства как	2	15
61	могли бы	2	15
62	не могут	2	15
63	в частности	3	15
64	для него	3	15
65	очевидно что	3	14
66	должна быть	2	14
67	в художественном	5	14
68	хотя бы	5	14
69	по существу	2	14
70	прежде всего	8	14
71	в области	3	14
72	при таком	2	14
73	этом отношении	2	14
74	художественном произведении	2	12
75	конце концов	2	12
76	ничего не	2	12
77	в конечном	4	12
78	и с	2	12
79	с его	2	11
80	конечном счете	4	11
81	конечно не	4	11
82	это было	2	10
83	материала и	2	10
84	и у	2	10
85	в их	4	10
86	думается что	2	9
87	не есть	2	9
88	о чем	2	9
89	его и	2	9
90	смысле этого	2	8
91	формы в	3	8
92	художественного творчества	5	8
93	бы и	2	8
94	этом смысле	2	8
95	произведения искусства	3	8
96	не как	3	7
97	для всех	2	7
98	нас в	2	7
99	что такое	4	7
100	а как	2	7
101	материал для	2	6
102	не все	2	6
103	в сторону	2	6
104	всех этих	2	6
105	на эту	2	5
106	надо было	2	5
107	и является	2	5
108	все они	2	5
109	но даже	2	5
110	мы получаем	2	5
111	не следует	3	5
112	бы то	3	5
113	этой области	3	5
114	именно как	2	5
115	как прием	2	5
116	и формы	3	4
117	должна была	2	4
118	к сожалению	3	4
119	если не	2	4
120	является в	2	4
121	к области	2	4
122	вот почему	7	4
123	литературы и	2	4
124	а между	2	4
125	форму и	2	4
126	в некоторых	2	4
127	же время	3	4
128	не о	3	3
129	одним из	2	3
130	ни было	3	3
131	же не	2	3
132	на первый	2	3
133	превращается в	2	3
134	мы и	2	3
135	материал не	2	3
136	вопроса о	2	3
137	как таковой	2	3
138	и роль	2	3
139	не столько	2	3
140	их и	2	3
141	то ни	3	3
142	прием в	2	2
143	наконец он	2	2
144	каждом шагу	2	2
145	прием и	2	2
146	эстетического объекта	6	2
147	как такового	3	2
148	только к	3	2
149	фактов и	2	2
150	на каждом	2	2
151	композиции и	2	2
152	материал как	2	2
153	по крайней	2	2
154	или иных	2	2
155	ни от	2	2
156	крайней мере	2	2
157	и т.д	3	2
158	нам представляется	2	2
159	истории литературы	3	2
160	даже и	2	2
161	не приходится	2	2
162	тех или	2	2
163	в россии	4	2
164	что материал	2	2
165	а о	2	2
166	более чем	2	2
