N	3gram	Vygotskiy_	Literetu
1	в то же	2	21
2	то же время	2	21
3	в том что	30	21
4	по отношению к	11	12
5	с одной стороны	14	12
6	в данном случае	5	11
7	в отличие от	3	11
8	не может быть	8	11
9	состоит в том	4	11
10	в конечном счете	4	10
11	о том что	10	10
12	в этом отношении	6	10
13	с точки зрения	34	8
14	с другой стороны	10	7
15	из того что	7	6
16	в том числе	3	6
17	подобно тому как	2	6
18	этой точки зрения	2	5
19	прежде всего в	2	5
20	в связи с	3	5
21	в том чтобы	6	5
22	и тем самым	4	4
23	во всяком случае	5	3
24	то же самое	4	3
25	той или иной	2	3
26	на самом деле	3	3
27	в самом деле	5	3
28	на то что	9	3
29	одной стороны и	3	3
30	речь идет о	4	3
31	том числе и	3	3
32	и в частности	3	3
33	в том же	3	3
34	в одном из	2	3
35	в свою очередь	3	3
36	в равной мере	2	2
37	одно и то	2	2
38	для того чтобы	19	2
39	и то же	2	2
40	я не могу	2	2
41	в этой книге	2	2
42	только то что	2	2
43	не только не	2	2
44	и в самом	2	2
45	а с другой	6	2
46	к тому что	3	2
47	в другом месте	6	2
48	можно было бы	6	2
49	вместе с тем	5	2
50	дело в том	2	2
51	в целом и	6	2
52	в значительной степени	2	2
