N	2gram	Tiupa_Hudo	Poddanst
1	не только	20	17
2	и в	23	14
3	и не	16	12
4	в области	8	11
5	в этом	12	10
6	в отношении	4	10
7	но в	10	9
8	то же	12	9
9	в том	20	9
10	в качестве	31	9
11	в пределах	3	8
12	в то	8	7
13	только в	7	7
14	же время	7	7
15	но и	14	6
16	xix века	2	6
17	с другой	9	5
18	не в	9	5
19	и о	4	5
20	отношении к	3	5
21	может быть	19	5
22	по себе	2	4
23	что в	7	4
24	и политического	2	4
25	если бы	3	4
26	и потому	2	4
27	в своем	4	4
28	том что	9	4
29	а также	6	4
30	в русской	3	4
31	и к	3	4
32	как бы	11	4
33	то что	5	4
34	не может	9	4
35	а в	13	4
36	и как	4	3
37	в порядке	2	3
38	но не	13	3
39	тем самым	5	3
40	это не	4	3
41	с точки	3	3
42	сводится к	11	3
43	столь же	2	3
44	я и	7	3
45	для того	5	3
46	в себе	13	3
47	точки зрения	11	3
48	потому что	3	3
49	одной стороны	3	3
50	в нем	6	3
51	между тем	4	3
52	вслед за	2	3
53	могут быть	5	3
54	прежде всего	5	3
55	хотя и	4	3
56	с одной	3	3
57	с ними	2	3
58	заключается в	2	3
59	в них	2	2
60	мира с	2	2
61	в жизни	3	2
62	в мире	24	2
63	одна из	2	2
64	отношения к	4	2
65	и весьма	2	2
66	и это	2	2
67	и тем	4	2
68	в его	11	2
69	не менее	5	2
70	говорить о	4	2
71	со стороны	5	2
72	культуры в	3	2
73	именно в	2	2
74	тем более	2	2
75	все это	2	2
76	в частности	18	2
77	том числе	3	2
78	а не	13	2
79	во всей	3	2
80	например в	4	2
81	во всех	3	2
82	в ее	6	2
83	как раз	3	2
84	есть в	3	2
85	хх века	5	2
86	в значительной	2	2
87	того что	5	2
88	в силу	4	2
89	не столько	7	2
90	отнюдь не	2	2
