N	2gram	Vygotskiy_	Tragedij
1	и в	55	18
2	в романе	2	10
3	в этом	30	9
4	не только	24	8
5	и не	19	7
6	и на	12	7
7	как бы	33	7
8	и с	3	7
9	может быть	34	7
10	же время	2	6
11	что он	30	6
12	но в	7	6
13	и его	10	6
14	у него	9	6
15	это очень	2	5
16	несмотря на	5	5
17	что это	15	5
18	к жизни	2	5
19	все же	11	5
20	это не	9	5
21	то же	16	5
22	как и	9	5
23	так и	6	5
24	не может	15	5
25	в то	6	5
26	что в	43	4
27	еще не	6	4
28	в целом	7	4
29	но и	16	4
30	прежде всего	6	4
31	об этом	5	4
32	том что	46	4
33	в этой	15	4
34	и что	45	4
35	так же	19	4
36	и все	15	4
37	все это	8	4
38	в нем	13	4
39	то что	69	4
40	но это	2	4
41	и даже	4	4
42	в себе	13	4
43	один из	9	3
44	и как	10	3
45	уже в	7	3
46	в своем	12	3
47	при этом	11	3
48	в его	8	3
49	что с	8	3
50	все эти	5	3
51	мог бы	3	3
52	и он	7	3
53	о чем	4	3
54	как будто	7	3
55	никто не	4	3
56	должно быть	6	3
57	как в	4	3
58	как это	16	3
59	жизнь и	2	3
60	для него	5	3
61	то есть	16	3
62	романа и	2	3
63	в конце	10	3
64	с ним	4	3
65	никогда не	15	2
66	в рассказе	2	2
67	в самом	18	2
68	она все	2	2
69	и то	12	2
70	но все	5	2
71	данном случае	4	2
72	по поводу	6	2
73	до конца	7	2
74	с тем	10	2
75	одна из	6	2
76	тем что	8	2
77	перед нами	5	2
78	в душе	2	2
79	вопрос о	6	2
80	в одном	5	2
81	любви и	3	2
82	его в	2	2
83	не имеет	2	2
84	в виде	3	2
85	ничего не	4	2
86	нет в	2	2
87	отца и	2	2
88	в данном	4	2
89	не могут	4	2
90	в ее	3	2
91	что все	12	2
92	к тому	12	2
93	а как	3	2
94	говорит о	5	2
95	о том	24	2
96	что и	11	2
97	ни в	5	2
98	не в	12	2
99	столь же	3	2
100	и здесь	11	2
101	потому что	48	2
102	одном из	2	2
103	что этот	3	2
104	не просто	6	2
105	в частности	6	2
106	только о	2	2
107	в таком	4	2
108	еще раз	2	2
109	так что	8	2
110	он не	10	2
111	под влиянием	3	2
112	и за	4	2
113	из самых	3	2
114	что она	10	2
115	по мнению	6	2
116	что эти	4	2
117	и это	13	2
118	говорит что	13	2
119	этого романа	2	2
120	знает что	2	2
121	но они	2	2
122	не так	4	2
123	отличие от	3	2
124	в том	50	2
125	в глаза	2	2
126	и до	4	2
127	в глазах	2	2
128	в отличие	3	2
129	как говорит	6	2
130	еще в	2	2
131	с его	6	2
132	он был	3	2
133	в это	2	2
