N	3gram	Vygotskiy_	Mirosoze
1	не может быть	4	28
2	но он не	2	9
3	в том что	30	9
4	для того чтобы	41	7
5	друг к другу	5	6
6	о том что	15	6
7	и в этой	4	6
8	вместе с тем	4	6
9	и в этом	2	6
10	может быть и	2	5
11	до сих пор	9	5
12	мы увидим что	7	5
13	потому что в	4	4
14	по отношению к	2	4
15	в конце концов	6	4
16	что он не	3	4
17	на то что	25	4
18	и в самом	3	4
19	заключает в себе	6	4
20	не что иное	2	4
21	в нем нет	3	4
22	то время как	4	4
23	потому что он	3	4
24	можно было бы	4	4
25	в то время	4	4
26	что иное как	2	4
27	том что он	4	3
28	одна и та	2	3
29	с тем что	3	3
30	одной и той	4	3
31	и та же	3	3
32	и той же	4	3
33	к тому что	8	3
34	так же как	3	3
35	для этого необходимо	2	3
36	по сравнению с	4	3
37	как бы в	3	2
38	что это не	2	2
39	в этом отношении	3	2
40	не только в	5	2
41	именно потому что	3	2
42	том что в	2	2
43	что в нем	3	2
