N	3gram	Medvedev_F	DiskursI
1	в том что	3	28
2	в отличие от	2	26
3	по отношению к	4	17
4	с одной стороны	5	14
5	не может быть	11	12
6	в данном случае	2	12
7	то же время	13	10
8	в то же	13	8
9	в этом отношении	7	8
10	не сводится к	2	6
11	так и в	6	6
12	с точки зрения	17	6
13	одной стороны и	4	5
14	в значительной степени	3	5
15	с другой стороны	4	5
16	в свою очередь	6	5
17	и прежде всего	2	4
18	до известной степени	3	4
19	тем не менее	2	4
20	не в том	3	4
21	и не может	5	4
22	и в частности	2	3
23	в том случае	2	3
24	более или менее	7	3
25	по аналогии с	4	3
26	во всяком случае	6	3
27	того или иного	6	3
28	речевого общения в	2	2
29	бы то ни	4	2
30	сами по себе	4	2
31	прежде всего в	5	2
32	как мы видели	5	2
33	до настоящего времени	3	2
34	в большинстве случаев	5	2
35	но и в	4	2
36	же время и	2	2
37	с самого начала	2	2
38	из виду что	2	2
39	и в то	4	2
40	как и все	2	2
41	в том чтобы	3	2
