N	2gram	Bakhtin_Fr	SlovoVZh
1	не может	9	16
2	точки зрения	10	14
3	может быть	11	14
4	и его	24	13
5	как бы	33	13
6	и в	105	12
7	таким образом	5	12
8	в нашем	3	11
9	отношению к	2	11
10	по отношению	2	11
11	и не	34	10
12	так как	11	9
13	прежде всего	26	8
14	для нас	5	7
15	сказать что	12	7
16	при этом	10	6
17	в том	17	6
18	в нем	16	6
19	только в	16	6
20	в процессе	2	6
21	в ней	7	6
22	никогда не	11	5
23	как в	6	5
24	что мы	2	5
25	в жизни	7	5
26	в виду	5	5
27	можно сказать	4	5
28	но в	16	5
29	том что	9	5
30	то же	6	5
31	как и	15	5
32	и следовательно	3	5
33	хотя бы	2	5
34	то что	7	5
35	и др	32	5
36	в самом	7	4
37	в этом	22	4
38	не только	24	4
39	в литературе	9	4
40	на самом	6	4
41	что не	3	4
42	его в	7	4
43	жизни и	14	4
44	не в	4	4
45	с другой	3	4
46	все же	10	4
47	дело в	2	4
48	к нему	5	4
49	за пределы	10	4
50	и к	7	4
51	так и	16	4
52	и на	25	4
53	уже не	3	4
54	от того	2	4
55	литературы и	7	4
56	отношение к	9	4
57	как к	3	3
58	в них	13	3
59	и вообще	5	3
60	о том	5	3
61	и для	3	3
62	да и	5	3
63	не к	2	3
64	все эти	15	3
65	и наконец	2	3
66	так же	2	3
67	в своей	8	3
68	конечно не	2	3
69	точка зрения	3	3
70	в себе	7	3
71	еще не	8	3
72	здесь не	3	3
73	это как	5	3
74	все это	16	3
75	только на	3	3
76	в некоторых	2	3
77	между тем	5	3
78	и с	8	3
79	но для	3	3
80	в творчестве	2	3
81	не менее	2	3
82	сих пор	7	3
83	с ним	6	3
84	до сих	7	3
85	в пределах	3	3
86	и по	3	3
87	формы и	7	3
88	находит свое	2	3
89	самом деле	3	3
90	и пр	5	3
91	того что	3	3
92	и более	4	3
93	но и	20	3
94	для него	12	3
95	в особенности	7	2
96	конечно в	2	2
97	в его	24	2
98	имеет место	2	2
99	до конца	4	2
100	и здесь	4	2
101	что в	4	2
102	в отношении	7	2
103	искусства и	6	2
104	место в	4	2
105	ничего не	3	2
106	с его	9	2
107	что и	2	2
108	это не	4	2
109	более того	3	2
110	и все	7	2
111	можно найти	3	2
112	кроме того	2	2
113	там где	3	2
114	с точки	6	2
115	от всех	3	2
116	она не	2	2
117	но все	5	2
118	в своем	11	2
119	на все	5	2
120	эти и	2	2
121	его к	2	2
122	в то	5	2
123	себя и	2	2
124	перестает быть	3	2
125	уже в	5	2
126	в этих	6	2
127	одной стороны	2	2
128	влияние на	8	2
129	еще раз	4	2
130	связь с	8	2
131	в основном	4	2
132	и другие	10	2
133	но это	5	2
134	в условиях	15	2
135	на материале	3	2
136	он не	3	2
137	в какой	2	2
138	в формах	3	2
139	подчеркнуть что	2	2
140	точку зрения	2	2
141	как на	4	2
142	и потому	14	2
143	оно не	2	2
144	имеем в	2	2
145	но не	7	2
146	на это	2	2
147	автора и	2	2
148	в себя	9	2
149	мы можем	2	2
150	до известной	2	2
151	что слово	3	2
152	ни на	3	2
153	могут быть	4	2
154	в чем	2	2
155	нет ничего	3	2
156	в форме	6	2
157	быть только	3	2
158	и так	2	2
159	с одной	2	2
160	выражение в	5	2
161	и оценки	5	2
162	относится к	4	2
163	к этому	2	2
164	между ними	4	2
165	этих двух	2	2
166	и значение	2	2
167	и та	2	2
168	известной степени	2	2
169	на него	2	2
