N	3gram	Bakhtin_Fr	Analitik
1	в том что	4	25
2	по отношению к	3	18
3	в то же	12	16
4	о том что	4	15
5	то же время	12	14
6	с одной стороны	3	9
7	с другой стороны	2	9
8	в свою очередь	3	9
9	в этом отношении	3	8
10	как и в	2	8
11	с точки зрения	4	8
12	в свое время	2	7
13	но и в	2	5
14	том или ином	2	5
15	в самом деле	3	4
16	большей или меньшей	2	4
17	в значительной степени	3	4
18	в том или	2	4
19	то есть в	6	3
20	сам по себе	2	3
21	в том числе	4	3
22	в связи с	2	3
23	дело в том	2	3
24	более или менее	3	2
25	в отрыве от	2	2
26	но в то	3	2
27	прежде всего в	4	2
28	можно было бы	2	2
29	со всех сторон	2	2
30	до сих пор	3	2
31	и прежде всего	2	2
