N	2gram	Vygotskiy_	Myshleni
1	в том	55	195
2	в этом	21	167
3	то что	47	166
4	и в	55	162
5	том что	30	161
6	таким образом	38	147
7	точки зрения	32	143
8	что в	39	119
9	мышления и	3	117
10	не только	25	116
11	того что	15	109
12	в процессе	7	101
13	так же	29	100
14	потому что	27	95
15	того чтобы	13	91
16	может быть	35	89
17	с точки	12	89
18	что он	17	86
19	не может	30	81
20	как и	25	79
21	так как	28	78
22	для того	12	78
23	и не	24	78
24	только в	18	75
25	в целом	8	74
26	как мы	2	72
27	но и	12	70
28	заключается в	15	67
29	в его	8	67
30	сказать что	12	65
31	как бы	11	64
32	вместе с	10	62
33	что ребенок	2	60
34	в качестве	3	60
35	и что	28	60
36	было бы	14	60
37	представляет собой	2	60
38	то же	17	58
39	в основе	13	58
40	в отношении	3	55
41	могли бы	3	54
42	что мы	9	53
43	в силу	4	53
44	в самом	18	52
45	в сущности	15	51
46	по сравнению	3	51
47	мы должны	4	50
48	к тому	8	49
49	что они	7	48
50	мы можем	6	48
51	тем что	7	48
52	мы не	15	47
53	тогда когда	7	47
54	на основе	2	47
55	понятий и	3	47
56	сравнению с	3	46
57	если бы	10	46
58	но не	5	45
59	с другой	7	45
60	в мышлении	2	44
61	тем самым	2	43
62	с тем	11	43
63	же как	8	43
64	как это	8	42
65	тому что	7	42
66	не является	5	41
67	одной стороны	7	40
68	о том	11	40
69	так и	6	39
70	говорит он	3	39
71	никогда не	13	39
72	с одной	6	39
73	в области	12	38
74	мы видели	2	38
75	вопрос о	3	37
76	не в	19	37
77	если мы	21	37
78	в этой	5	37
79	и к	5	37
80	мы видим	8	37
81	в своем	3	36
82	все эти	7	36
83	и его	14	36
84	как в	17	36
85	а не	18	36
86	того же	3	35
87	можно было	4	35
88	он не	8	35
89	в которой	6	35
90	в себе	6	35
91	для себя	2	35
92	и как	9	34
93	связи с	2	34
94	приводит к	3	34
95	при этом	28	33
96	прежде всего	5	33
97	по себе	21	33
98	что и	27	32
99	по своему	2	32
100	же самое	8	32
101	но в	5	32
102	той же	9	32
103	и тем	5	32
104	что оно	4	32
105	и на	6	32
106	и то	4	31
107	из того	2	31
108	все же	9	31
109	мысли и	2	30
110	этом отношении	7	30
111	на то	17	30
112	между тем	6	29
113	могут быть	15	29
114	показывает что	6	29
115	этого слова	5	29
116	от того	6	29
117	с этим	7	28
118	самом деле	19	28
119	что с	5	28
120	что все	10	27
121	в своей	6	27
122	только что	3	27
123	с этой	8	27
124	в результате	4	27
125	в то	8	27
126	другой стороны	7	27
127	и с	5	27
128	мысли в	3	26
129	в их	4	26
130	в частности	6	26
131	что это	12	26
132	показали что	2	26
133	нашего исследования	4	26
134	в собственном	4	26
135	собственном смысле	3	26
136	все это	11	25
137	еще не	2	25
138	уже в	3	25
139	что она	11	25
140	только не	4	25
141	в чем	5	25
142	можно сказать	2	25
143	так что	8	24
144	мы знаем	8	24
145	тот же	8	24
146	целый ряд	12	24
147	в какой	6	24
148	что эта	4	24
149	в нем	5	24
150	того как	5	24
151	зависимости от	7	24
152	на этот	2	24
153	в слове	3	24
154	оба эти	2	24
155	в смысле	3	24
156	как он	4	23
157	состоит в	5	23
158	бы в	3	23
159	слова в	5	23
160	ни в	9	23
161	этот вопрос	2	23
162	речи с	2	23
163	смысле этого	2	22
164	в известном	2	22
165	во всяком	9	22
