N	4gram	Voloshinov	Myshleni
1	одного и того же	9	17
2	так же как и	2	16
3	одной и той же	2	15
4	одно и то же	3	12
5	один и тот же	3	12
6	в том числе и	3	10
7	в собственном смысле слова	2	9
8	в том что он	3	8
9	все более и более	2	8
10	одним и тем же	2	6
11	одни и те же	5	4
12	и то же слово	2	4
13	в самом деле если	2	4
14	в связи с этим	3	3
15	бы то ни было	11	3
16	как если бы он	3	2
17	на самом же деле	5	2
18	же самое существительное но	2	2
19	с точки зрения самого	2	2
20	в той или иной	3	2
21	прав в том что	2	2
22	для того чтобы понять	2	2
23	так как если бы	2	2
24	и не может быть	5	2
25	нет и не может	2	2
26	какого бы то ни	2	2
27	в то же время	7	2
