N	2gram	Tiupa_Lite	Formalny
1	и в	26	95
2	и не	19	78
3	может быть	24	66
4	в этом	19	61
5	не может	10	57
6	вовсе не	3	53
7	таким образом	4	52
8	и его	7	51
9	так и	7	50
10	точки зрения	8	47
11	в нем	4	42
12	в его	9	42
13	прежде всего	14	41
14	с точки	4	40
15	как и	13	39
16	и т	2	37
17	не в	11	35
18	в самом	4	35
19	а не	28	34
20	но и	25	33
21	то же	13	32
22	самом деле	2	32
23	не только	29	30
24	в пределах	4	28
25	в том	22	26
26	отнюдь не	4	26
27	то что	14	25
28	при этом	23	24
29	в своей	5	24
30	лишь в	4	24
31	на почве	2	24
32	в ней	4	23
33	связи с	7	23
34	было бы	4	23
35	в то	12	22
36	как бы	8	21
37	что в	7	21
38	и с	4	21
39	в их	3	20
40	не менее	11	20
41	с тем	2	20
42	как мы	2	20
43	же время	12	20
44	хотя бы	3	19
45	художественное произведение	2	19
46	т п	2	18
47	все же	6	18
48	все эти	2	18
49	в связи	4	18
50	должна быть	3	18
51	с его	5	18
52	только в	8	18
53	как в	5	17
54	как раз	6	17
55	в искусстве	4	16
56	во всяком	3	16
57	с другой	11	16
58	потому что	5	16
59	всяком случае	2	16
60	его в	4	15
61	но в	5	15
62	в поэзии	4	15
63	так как	2	15
64	во всех	4	15
65	в литературе	2	15
66	и на	5	15
67	что он	8	14
68	только на	3	14
69	в целом	10	14
70	в своем	12	14
71	еще не	4	14
72	в жизни	7	14
73	в этой	7	14
74	жизни и	6	14
75	вместе с	5	14
76	до конца	3	13
77	со стороны	6	13
78	того что	7	13
79	а в	5	13
80	могут быть	4	13
81	для них	2	13
82	что и	3	13
83	сводится к	4	13
84	в результате	2	13
85	тем что	6	13
86	в действительности	2	12
87	по отношению	6	12
88	как это	9	12
89	к тому	3	12
90	отношению к	4	12
91	уже не	9	12
92	никогда не	5	11
93	этом отношении	5	11
94	литературного произведения	4	11
95	в основе	5	11
96	но не	8	11
97	слова и	6	11
98	произведения как	2	11
99	для него	6	11
100	между тем	2	11
