N	2gram	Vygotskiy_	Myslijsy
1	потому что	14	182
2	и в	38	121
3	может быть	25	107
4	в том	59	103
5	то что	27	83
6	в слове	3	78
7	для нас	6	75
8	что в	31	73
9	и не	16	73
10	только в	16	72
11	не только	16	67
12	а не	7	67
13	таким образом	36	64
14	в языке	3	60
15	том что	44	59
16	так как	19	59
17	в этом	35	59
18	но и	9	59
19	то же	18	56
20	не в	10	54
21	если бы	12	53
22	в себе	9	53
23	не может	11	52
24	по себе	11	52
25	того что	17	47
26	в нем	4	45
27	было бы	15	45
28	не есть	5	42
29	как и	20	42
30	так что	3	39
31	вместе с	18	39
32	мы не	14	38
33	что и	14	38
34	так и	11	37
35	при этом	13	37
36	как в	14	37
37	тогда когда	10	36
38	что мы	18	36
39	точно так	4	35
40	тем что	12	33
41	и что	15	32
42	по отношению	4	30
43	а в	7	30
44	но не	7	29
45	между тем	10	29
46	вовсе не	5	28
47	мы можем	13	28
48	для него	6	28
49	могут быть	9	27
50	с этим	6	27
51	то и	5	26
52	независимо от	5	26
53	отношению к	3	26
54	этого слова	13	25
55	в то	5	24
56	с тем	18	23
57	от того	8	23
58	того как	5	23
59	как бы	17	23
60	но в	4	22
61	не имеет	3	22
62	с другой	11	22
63	что слово	6	22
64	и потому	2	21
65	не менее	8	21
66	в ней	3	20
67	в одном	4	20
68	это не	5	20
69	тем самым	6	19
70	заключает в	3	19
71	и как	11	19
72	с ним	4	19
73	и то	9	19
74	сказать что	10	19
75	что это	8	19
76	из этих	5	19
77	но это	7	19
78	должно быть	3	19
79	тем не	6	19
80	о том	6	19
81	того же	12	19
82	в каком	3	18
83	для того	14	18
84	еще не	6	18
85	не могут	5	18
86	в самом	8	18
87	в таком	4	18
88	в его	22	17
89	слова и	8	17
90	точки зрения	27	17
91	что оно	8	17
92	во всяком	10	17
93	не можем	4	17
94	уже в	10	17
95	слова в	8	17
96	в своем	9	16
97	к тому	8	16
98	в которой	4	16
99	только что	5	16
100	так же	26	16
101	в них	3	16
102	что если	3	16
103	на то	7	16
104	и на	9	16
105	и по	5	15
106	в этих	4	15
107	с одной	8	15
108	тому как	2	15
109	и тем	8	15
110	что он	13	15
111	прежде всего	6	15
112	быть может	2	15
113	с другими	3	15
114	в свою	4	15
115	уже не	3	15
116	мы должны	15	14
117	свою очередь	3	14
118	в действительности	3	14
119	связи с	14	14
120	в истории	9	14
121	там где	4	14
122	само по	3	14
123	то в	3	14
124	на деле	6	14
125	столь же	7	14
126	в котором	3	14
127	все же	11	14
128	сам по	2	14
129	когда мы	2	14
130	во всех	3	14
131	бы ни	2	14
132	смысле этого	10	13
133	что все	2	13
134	и все	5	13
135	те же	6	13
136	том смысле	3	13
137	и может	4	13
138	например в	2	13
139	в смысле	9	13
140	из них	5	13
141	и его	5	13
142	как на	2	13
143	значение слова	7	13
144	никогда не	11	12
145	человека и	6	12
146	и вместе	2	12
147	друг друга	7	12
148	и при	3	12
149	одно из	2	12
150	что на	2	12
151	все это	8	12
152	как мы	14	12
153	тем более	2	12
154	сих пор	3	12
155	оно не	3	12
156	или менее	5	12
157	в чем	2	12
158	только потому	2	12
159	хотя и	2	12
160	все остальные	2	12
161	другой стороны	5	12
162	в каждом	2	12
163	более или	3	12
164	всяком случае	10	12
165	до сих	3	12
166	к одному	10	11
167	другими словами	3	11
168	для человека	2	11
169	в силу	9	11
170	той же	8	11
171	того чтобы	15	11
172	только на	2	11
173	которые мы	3	11
174	все что	4	11
175	и их	4	11
176	же что	2	11
177	его в	8	11
178	указывает на	3	11
179	мы видели	8	11
180	речи и	11	11
181	с нею	2	11
182	же в	3	11
183	к ней	2	11
184	сами по	4	11
185	и это	7	11
186	и только	4	11
187	быть не	2	11
188	со словом	2	11
189	одной стороны	8	10
190	представить себе	3	10
191	бы быть	2	10
192	но тем	2	10
193	и для	4	10
194	хотя бы	2	10
195	в других	2	10
196	тем же	8	10
197	тем и	5	10
198	слово с	2	10
199	слово в	4	10
200	одной и	6	10
201	по которому	3	10
202	тому что	3	10
203	находится в	4	10
204	мы видим	13	10
205	и от	5	10
206	и мы	2	10
207	бы в	5	10
208	и другое	7	10
209	он не	6	10
210	если мы	12	10
211	и с	5	10
212	то время	5	10
213	что как	3	10
214	что при	3	10
215	вопрос о	2	9
216	об отношении	2	9
217	и других	4	9
218	могли бы	16	9
219	не будет	2	9
220	во многих	3	9
221	и даже	4	9
222	на него	2	9
223	известно что	2	9
224	далеко не	2	9
225	с точки	11	9
226	и того	5	9
227	от нее	4	9
228	связь между	7	9
229	этим последним	2	9
230	самом деле	4	9
231	один из	8	9
232	в целом	22	9
233	во время	3	9
234	можно сказать	2	9
235	что она	7	9
236	одного и	5	9
237	ко всем	2	9
238	с в	2	9
239	таким же	4	9
240	то мы	2	8
241	при помощи	3	8
242	мы называем	4	8
243	такое же	2	8
244	тот же	10	8
245	одно и	7	8
246	не как	3	8
247	и слово	3	8
248	что они	23	8
249	все равно	4	8
250	с и	2	8
251	и более	4	8
252	но все	4	8
253	их в	6	8
254	именно в	6	8
255	в которых	3	8
256	только не	2	8
257	внимание на	4	8
258	во всем	7	8
259	слова не	3	8
260	вслед за	4	8
261	говоря о	2	8
262	и той	7	8
263	между ними	6	8
264	на все	2	8
265	с ними	3	8
266	этом случае	4	8
267	и тогда	2	8
268	словом и	3	8
269	которые не	5	8
270	слова с	2	8
271	от одного	2	8
272	что по	2	8
273	мы в	3	8
274	или в	4	8
275	не имеют	2	7
276	к другим	2	7
277	для себя	2	7
278	а как	2	7
279	том же	3	7
280	на основании	11	7
281	самого начала	6	7
282	в эту	3	7
283	с самого	6	7
284	связь с	4	7
285	и во	4	7
286	место в	3	7
287	развития и	2	7
288	все эти	9	7
289	в собственном	12	7
290	и тот	6	7
291	с этой	6	7
292	что у	3	7
293	в своих	3	7
294	к одной	3	7
295	в другой	2	7
296	но что	3	7
297	как она	4	7
298	не знаем	2	7
299	один и	6	7
300	его к	6	7
301	но как	4	7
302	что именно	3	7
303	тем как	4	7
304	на котором	3	7
305	самое слово	2	7
306	самого себя	2	7
307	бы и	2	7
308	к этому	5	7
