N	2gram	Ircho_Kome	FransuaR
1	и в	40	367
2	в этом	9	112
3	и не	19	101
4	таким образом	13	100
5	и его	17	99
6	в его	8	98
7	прежде всего	8	92
8	не только	12	87
9	но и	14	84
10	как бы	3	82
11	вовсе не	3	77
12	как и	12	76
13	в нем	8	75
14	но в	6	75
15	и на	9	72
16	в том	19	71
17	как мы	5	71
18	то же	7	66
19	и все	4	66
20	так и	17	65
21	в этой	9	65
22	в них	7	65
23	в сущности	3	64
24	и с	8	64
25	во время	11	63
26	в то	14	63
27	все это	7	62
28	во всех	4	62
29	же время	5	55
30	что в	12	52
31	в своем	6	51
32	только в	6	48
33	так как	6	46
34	том что	19	45
35	в году	3	44
36	здесь в	4	41
37	то что	8	41
38	жизни и	4	40
39	у него	6	40
40	в самом	5	38
41	точки зрения	7	37
42	в ней	2	37
43	с его	4	36
44	может быть	16	35
45	он был	4	35
46	о том	12	35
47	до нас	9	34
48	и даже	5	34
49	в себе	3	34
50	в конце	7	32
51	он не	5	32
52	мы видели	2	32
53	в своей	3	31
54	нового времени	7	31
55	до конца	3	31
56	в литературе	2	31
57	так же	4	30
58	той же	3	30
59	один из	9	30
60	потому что	8	30
61	но он	2	30
62	в духе	3	29
63	в этих	5	29
64	не может	3	29
65	еще не	7	29
66	его в	6	29
67	не в	8	29
68	при этом	5	29
69	в одном	10	29
70	связи с	3	29
71	что он	11	29
72	из них	16	28
73	в той	2	28
74	здесь и	2	28
75	и к	2	28
76	роль в	2	27
77	сих пор	3	27
78	по своему	5	27
79	и другие	3	27
80	до сих	3	27
81	и их	3	27
82	том числе	4	27
83	все же	7	27
84	в области	3	25
85	но это	2	25
86	отношение к	3	24
87	того чтобы	4	24
88	в ее	2	24
89	и от	2	24
90	в частности	7	24
91	но не	3	24
92	в большинстве	2	24
93	как в	8	24
94	и у	3	24
95	времени и	2	24
96	и для	4	23
97	это не	2	23
98	в их	6	23
99	еще и	2	23
100	и здесь	6	23
101	к нему	5	23
102	большинстве случаев	2	23
103	и о	3	22
104	связь с	2	22
105	и во	4	22
106	даже в	3	22
107	а в	9	22
108	что и	10	22
109	и других	7	22
110	тем что	5	22
111	вместе с	8	22
112	именно в	5	21
113	в своих	2	21
114	в себя	3	21
115	в качестве	8	21
116	что это	5	21
117	в отношении	6	21
118	ни в	9	21
119	одним из	3	21
120	и как	3	21
121	уже в	9	21
122	в образе	4	20
123	а также	5	20
124	как раз	4	20
125	одной из	6	20
126	этом отношении	3	20
127	в виду	2	20
128	и это	3	20
129	в связи	3	20
130	в форме	2	19
131	того же	4	19
132	хотя и	6	19
133	к этому	8	19
134	в эту	2	19
135	было бы	8	19
136	за пределы	2	19
137	с другой	7	19
138	с ее	2	19
139	на протяжении	14	19
140	связанные с	2	18
141	мы находим	2	18
142	на этом	3	18
143	но они	2	18
144	одна из	4	18
145	своего времени	2	17
146	связанных с	2	17
147	для того	3	17
148	но все	4	17
149	можно было	5	17
150	в результате	5	17
151	на его	5	17
152	и вот	4	17
153	еще более	2	17
154	такой же	2	17
155	между тем	9	16
156	тот же	5	16
157	ничего не	4	16
158	в начале	7	16
159	в другом	5	16
160	с одной	5	16
161	и одновременно	3	16
162	в истории	10	15
163	никто не	3	15
164	еще в	9	15
165	в нашем	2	15
166	как на	2	15
167	а затем	4	15
168	в первой	2	15
169	с их	4	15
170	в которой	9	15
171	в самой	2	15
172	не мог	4	15
173	из этих	5	15
174	мы не	4	14
175	все что	3	14
176	в более	4	14
177	несмотря на	5	14
178	и по	6	14
179	в чем	3	14
180	в котором	6	14
181	земли и	2	14
182	образом в	2	14
183	так в	6	13
184	как он	2	13
185	отличие от	4	13
186	это было	5	13
187	в других	3	13
188	или в	5	13
189	с этим	5	13
190	и еще	5	13
191	бы в	3	13
192	жизнь и	2	13
193	в мире	3	13
194	и сам	5	13
195	мира в	5	13
196	о чем	2	13
197	на все	3	13
198	только на	2	13
199	одной стороны	5	13
200	из всех	2	12
201	у нас	3	12
202	право на	2	12
203	и ее	5	12
204	по своей	2	12
205	раз в	2	12
206	мы встречаем	5	12
207	главным образом	4	12
208	место в	7	12
209	другой стороны	6	12
210	об этом	2	12
211	наконец в	3	11
212	это уже	2	11
213	все время	2	11
214	и более	2	11
215	из этого	2	11
216	зрения на	2	11
217	в общем	2	11
218	того как	3	11
219	и что	2	11
220	были в	2	11
221	в прологе	4	11
222	из самых	2	11
223	в течение	5	11
224	и особенно	7	11
225	с ними	2	11
226	что они	4	11
227	в отличие	3	11
228	в доме	6	10
229	все остальные	3	10
230	в изображении	2	10
231	на этот	5	10
232	там же	4	10
233	конце концов	4	10
234	к тому	15	10
235	ту же	2	10
236	целый ряд	2	10
237	во второй	4	10
238	нас в	3	10
239	для всех	5	10
240	по отношению	5	10
241	к которому	4	10
242	второй половины	2	10
243	в целом	6	10
244	да и	5	10
245	на землю	3	9
246	как известно	4	9
247	это были	2	9
248	этой же	3	9
249	именно на	2	9
250	относится к	2	9
251	как это	7	9
252	отношению к	5	9
253	между людьми	2	9
254	в тех	5	9
255	и были	2	9
256	для этой	3	9
257	что на	4	9
258	это была	2	9
259	же в	7	9
260	под названием	2	9
261	мы можем	6	9
262	чем же	2	9
263	с этой	3	8
264	так что	6	8
265	здесь мы	3	8
266	с тем	5	8
267	от этого	2	8
268	с самого	3	8
269	и без	3	8
270	для этого	2	8
