N	3gram	Propp_Isto	Psycholo
1	в том что	7	78
2	о том что	9	34
3	с одной стороны	11	28
4	до сих пор	4	23
5	не может быть	5	23
6	и т д	25	22
7	с другой стороны	17	20
8	в том чтобы	2	20
9	мы увидим что	2	19
10	мы видим что	4	16
11	в зависимости от	3	15
12	во всяком случае	3	14
13	так же как	4	14
14	в то время	4	14
15	можно было бы	3	13
16	то время как	4	13
17	этой точки зрения	3	12
18	то что в	4	11
19	с этой точки	3	10
20	вместе с тем	6	10
21	в данном случае	7	9
22	надо сказать что	2	9
23	точно так же	2	9
24	с тем что	2	8
25	на этот вопрос	3	7
26	что и в	3	7
27	так как это	3	7
28	как и в	3	7
29	на то чтобы	2	7
30	более или менее	3	6
31	тем не менее	4	6
32	мы не можем	2	6
33	не только в	9	6
34	что у него	5	6
35	и вместе с	3	5
36	образом мы видим	3	5
37	все больше и	2	5
38	мы видели что	4	5
39	больше и больше	2	5
40	только после этого	2	5
41	нам кажется что	4	5
42	о том как	3	5
43	таким образом мы	3	4
44	лежит в основе	2	4
45	но так как	4	4
46	и что он	2	4
47	таким образом и	3	4
48	том что в	2	4
49	а в том	2	4
50	во всех этих	6	3
51	и здесь мы	2	3
52	и то и	2	3
53	то и другое	2	3
54	после того как	4	3
55	в этом случае	4	3
56	по отношению к	3	3
57	что это не	2	3
58	что и здесь	3	3
59	мы имеем в	7	2
60	как мы видели	3	2
61	но вместе с	2	2
62	так и в	3	2
63	в ответ на	3	2
64	от всех других	2	2
65	дело не в	3	2
66	другой стороны и	2	2
67	в тех случаях	7	2
68	то же что	2	2
69	мы видим и	4	2
70	но и в	4	2
71	здесь мы имеем	8	2
72	так как он	4	2
73	другой стороны он	2	2
74	мы уже знаем	5	2
75	и в русской	2	2
76	это значит что	2	2
77	но и на	2	2
78	как и другие	2	2
79	так или иначе	2	2
80	уже знаем что	4	2
