N	2gram	Nazirov_Vr	VeschiIm
1	т е	3	81
2	и не	5	57
3	не только	9	48
4	то что	7	48
5	не может	2	46
6	и в	8	45
7	может быть	4	39
8	что я	2	26
9	в себе	2	23
10	и что	8	22
11	как бы	4	20
12	и ее	2	19
13	с нею	2	19
14	но и	7	19
15	все же	6	18
16	в этом	8	18
17	и это	2	17
18	таким образом	2	16
19	как раз	2	16
20	в том	3	15
21	как и	6	15
22	в ней	4	15
23	уже не	2	15
24	и то	2	14
25	но это	2	14
26	том что	3	13
27	что в	7	12
28	точки зрения	2	12
29	и как	3	12
30	то же	5	12
31	еще не	2	12
32	и даже	6	12
33	о том	4	12
34	и с	6	12
35	в то	5	11
36	не менее	2	11
37	в чем	3	10
38	это не	4	9
39	в своем	3	9
40	на то	3	9
41	и его	3	9
42	с ним	4	9
43	его в	3	8
44	что он	4	8
45	но в	6	8
46	все это	4	8
47	что есть	3	8
48	для него	2	8
49	отнюдь не	2	8
50	из них	2	7
51	а в	2	7
52	я не	3	7
53	тем что	3	7
54	никогда не	2	6
55	как же	2	6
56	и все	7	6
57	в нем	6	6
58	в своей	2	6
59	одна из	2	6
60	их в	2	6
61	несмотря на	4	6
62	в той	2	6
63	с точки	2	6
64	вместе с	2	5
65	в его	3	5
66	на это	2	5
67	об этом	5	5
68	что у	3	5
69	в свою	2	5
70	– это	6	5
71	так же	4	4
72	к себе	2	4
73	в конце	3	4
74	отношение к	2	4
75	и у	3	4
76	при помощи	2	4
77	в этой	2	4
78	же не	2	4
79	его на	2	4
80	не было	5	4
81	его и	2	4
82	и о	3	4
83	в котором	6	4
84	же время	5	4
85	он не	3	4
86	о которой	2	4
87	но как	2	3
88	и а	2	3
89	а с	2	3
90	же как	2	3
91	тогда как	2	3
92	и во	3	3
93	в истории	4	3
94	тем более	2	3
95	не мог	2	3
96	у него	5	3
97	об их	2	3
98	в своих	4	3
99	отношения к	2	3
100	но он	3	3
101	о чем	2	2
102	в это	2	2
103	наряду с	3	2
104	в виду	4	2
105	уже в	4	2
106	так в	2	2
107	связи с	3	2
108	в связи	3	2
109	в одну	2	2
110	а также	2	2
111	в россии	5	2
112	в начале	6	2
113	к этому	3	2
114	человека в	3	2
115	мне и	2	2
116	раз в	3	2
117	в в	2	2
118	далеко не	3	2
119	для нас	4	2
120	он сам	2	2
121	и уже	3	2
122	очень хорошо	2	2
123	с его	3	2
124	на основе	2	2
