N	3gram	Medvedev_V	Tvorches
1	в то же	5	25
2	то же время	5	24
3	и т д	16	17
4	в том что	5	11
5	о том что	3	8
6	и в то	3	7
7	в конечном счете	5	6
8	не может быть	8	6
9	и т п	9	5
10	по отношению к	7	5
11	по крайней мере	2	4
12	до сих пор	2	4
13	чуть ли не	2	3
14	с другой стороны	8	3
15	и не может	2	3
16	во всяком случае	2	3
17	не только для	2	2
18	не только в	2	2
19	от апреля года	2	2
20	для того чтобы	3	2
21	можно сказать что	4	2
22	в этой области	3	2
23	в связи с	4	2
24	том числе и	2	2
25	не могут быть	4	2
26	вместе с тем	4	2
27	в конце концов	2	2
28	в том числе	2	2
29	только то что	2	2
30	в одном из	4	2
31	в своем творчестве	3	2
32	и в другом	2	2
