N	2gram	Voloshinov	EvropaiC
1	таким образом	12	34
2	в том	6	31
3	и в	12	24
4	том что	5	20
5	все эти	3	19
6	не может	16	18
7	то что	5	18
8	может быть	14	17
9	до сих	3	15
10	все же	4	15
11	сих пор	3	15
12	точки зрения	14	14
13	в этом	4	13
14	все это	3	13
15	в своем	2	12
16	самом деле	3	12
17	между тем	3	12
18	по отношению	11	11
19	но и	3	11
20	отношению к	11	11
21	не только	4	10
22	так и	4	10
23	как и	5	10
24	как бы	13	10
25	и не	10	9
26	не в	4	9
27	что в	2	9
28	и все	2	9
29	при этом	6	9
30	и что	2	9
31	так же	3	8
32	если бы	9	8
33	в самом	4	8
34	с точки	2	8
35	ясно что	3	8
36	на самом	4	7
37	в психике	2	7
38	так как	9	7
39	того что	3	7
40	не менее	3	7
41	о том	3	7
42	из этого	3	7
43	что и	2	7
44	вместе с	2	7
45	только в	6	6
46	все они	2	6
47	еще не	3	6
48	в то	2	6
49	должна быть	5	6
50	и для	3	6
51	с другой	4	6
52	и на	4	6
53	мы можем	2	6
54	как на	2	6
55	тому же	2	6
56	с ним	3	6
57	его в	4	5
58	но все	2	5
59	в себе	3	5
60	к этому	2	5
61	как к	3	5
62	на все	2	5
63	но в	5	5
64	и с	3	5
65	и к	4	5
66	другой стороны	2	5
67	в его	2	5
68	быть и	3	5
69	никогда не	5	4
70	и то	2	4
71	в такой	3	4
72	хотя бы	5	4
73	то ни	3	4
74	тем не	3	4
75	отношение к	4	4
76	социальной жизни	2	4
77	ее и	3	4
78	то же	5	4
79	и проч	3	4
80	между собой	2	4
81	не так	2	4
82	не есть	2	4
83	что мы	5	4
84	он не	2	4
85	данном случае	2	3
86	и вообще	3	3
87	это не	2	3
88	и потому	2	3
89	в настоящее	2	3
90	ни было	4	3
91	от того	4	3
92	настоящее время	2	3
93	с этой	2	3
94	в этих	2	3
95	конечно не	3	3
96	и наконец	3	3
97	прежде всего	8	3
98	с одной	2	3
99	в жизни	5	3
100	но не	2	3
101	в данном	2	3
102	бы то	3	3
103	в нем	6	3
104	в ней	6	3
105	тогда когда	2	3
106	ко всем	2	3
107	для нас	7	3
108	и по	3	3
109	если же	2	3
110	в нашем	11	3
111	слагается из	2	3
112	конечно в	2	2
113	мы все	4	2
114	независимо от	2	2
115	в процессе	6	2
116	а к	2	2
117	к ним	2	2
118	и ее	3	2
119	на него	2	2
120	зависимости от	4	2
121	как не	2	2
122	этих двух	2	2
123	в виду	5	2
124	он должен	3	2
125	точку зрения	2	2
126	такой же	2	2
127	тем как	2	2
128	для него	3	2
129	и так	2	2
130	общего с	2	2
131	к нему	4	2
132	она не	2	2
133	в котором	3	2
134	те же	2	2
135	одной стороны	2	2
136	но для	3	2
137	и те	2	2
138	между ними	2	2
139	отнюдь не	5	2
140	в них	3	2
141	жизни и	4	2
142	и уже	3	2
143	из него	2	2
144	себя и	2	2
145	и его	13	2
146	и более	3	2
147	в себя	2	2
148	имеет место	2	2
