N	3gram	Losev_Dial	VLabPisa
1	и т д	38	16
2	в этом отношении	2	14
3	с другой стороны	3	8
4	не может быть	12	8
5	в то же	3	5
6	в том что	12	5
7	то же время	3	5
8	в зависимости от	3	5
9	в силу этого	3	4
10	к тому что	2	4
11	в связи с	3	4
12	равно как и	2	4
13	не могут быть	3	4
14	подобно тому как	5	3
15	и в то	2	3
16	о том как	2	3
17	о том что	6	3
18	та или иная	3	3
19	это и есть	4	3
20	по крайней мере	10	2
21	с одной стороны	3	2
22	не только не	7	2
23	во всяком случае	3	2
24	от того что	4	2
25	уже по одному	2	2
26	т е в	4	2
27	этой точки зрения	4	2
28	в чем же	2	2
29	не в том	5	2
30	по одному тому	3	2
31	одному тому что	3	2
32	иметь в виду	3	2
33	не может не	3	2
