N	2gram	Trubetskoy	KFilosof
1	может быть	9	45
2	в его	4	42
3	в нем	5	32
4	не может	22	29
5	и не	19	28
6	и в	14	28
7	по отношению	2	26
8	в котором	2	24
9	не есть	3	22
10	в себе	9	21
11	только в	5	18
12	в своем	6	17
13	а не	2	17
14	в этом	17	15
15	не в	4	13
16	для него	6	13
17	точки зрения	11	13
18	но не	4	12
19	к нему	2	12
20	ни в	2	12
21	в своей	5	11
22	во всех	5	11
23	все эти	2	11
24	и для	6	10
25	все это	6	10
26	с точки	9	10
27	и есть	2	10
28	в их	4	9
29	для нее	2	9
30	но и	10	9
31	как бы	4	9
32	себя в	4	8
33	если бы	6	8
34	не было	3	8
35	лишь в	3	8
36	со стороны	4	8
37	в мире	4	8
38	жизни и	4	8
39	было бы	5	8
40	для себя	2	7
41	совершенно не	2	7
42	то что	13	7
43	уже не	2	7
44	отнюдь не	7	7
45	конечно не	5	7
46	и только	5	7
47	что и	3	7
48	во всем	4	7
49	должно быть	3	6
50	в том	17	6
51	место в	2	6
52	но это	2	6
53	он не	5	6
54	никогда не	5	5
55	его в	4	5
56	все же	4	5
57	не только	9	5
58	хотя бы	5	5
59	то же	11	5
60	жизни в	5	5
61	еще не	3	5
62	а в	5	5
63	но в	2	5
64	культуры и	2	5
65	как и	4	5
66	именно в	3	5
67	от своей	2	5
68	себя и	5	5
69	с ним	2	5
70	что это	3	4
71	тем самым	2	4
72	том что	9	4
73	нисколько не	2	4
74	что в	4	4
75	и т.д	4	4
76	прежде всего	8	4
77	в своих	6	4
78	для нас	2	4
79	при этом	5	4
80	должна быть	2	4
81	между тем	5	4
82	или иного	2	3
83	того или	2	3
84	в то	10	3
85	на самом	6	3
86	от него	2	3
87	всех этих	3	3
88	в другом	3	3
89	от того	4	3
90	а лишь	4	3
91	тем что	3	3
92	и тем	2	3
93	для того	6	3
94	самом деле	7	3
95	людей и	2	3
96	себе и	4	3
97	к чему	2	3
98	и тот	2	3
99	не должен	2	3
100	в корне	4	3
101	и этот	3	3
102	и ни	3	3
103	только с	2	3
104	о том	7	3
105	в ней	2	3
106	но для	2	3
107	тогда когда	4	3
108	и на	5	3
109	лишь при	5	3
110	того что	3	3
111	той или	3	3
112	а следовательно	3	3
113	быть и	2	3
114	ясно что	2	3
115	не о	2	2
116	и то	4	2
117	для этого	3	2
118	или иной	5	2
119	значило бы	2	2
120	и потому	3	2
121	к которой	6	2
122	в данном	7	2
123	ли это	4	2
124	говорить о	3	2
125	то ни	4	2
126	деятельности и	2	2
127	вопрос о	5	2
128	к себе	2	2
129	и как	3	2
130	в виде	3	2
131	все они	3	2
132	были бы	2	2
133	это только	2	2
134	в области	2	2
135	а с	2	2
136	что он	6	2
137	из которых	5	2
138	отказаться от	4	2
139	ни к	7	2
140	отношении к	2	2
141	его и	2	2
142	что только	2	2
143	с тем	6	2
144	при условии	3	2
145	в сознании	3	2
146	тому что	2	2
147	можно ли	3	2
148	она не	2	2
149	во главе	2	2
150	ни одна	3	2
151	в единое	2	2
152	вся эта	2	2
153	если не	2	2
154	себя как	2	2
155	по себе	2	2
156	потому что	5	2
157	не будет	7	2
158	которой он	4	2
159	может не	3	2
160	того чтобы	8	2
161	сводится к	3	2
162	именно на	2	2
163	в качестве	3	2
164	же время	10	2
165	это есть	2	2
166	в этой	4	2
167	бы то	4	2
168	будет ли	2	2
