N	2gram	Berdyaev_M	Dialekti
1	не есть	21	181
2	т е	5	159
3	и не	26	120
4	это –	32	95
5	по себе	2	79
6	а не	36	78
7	и в	61	77
8	точки зрения	6	72
9	может быть	42	71
10	не только	42	66
11	значит что	4	61
12	то что	10	59
13	и есть	21	55
14	ничего не	4	54
15	это значит	3	54
16	не может	39	53
17	так как	10	46
18	что это	5	46
19	потому что	25	45
20	как бы	10	43
21	ни в	3	42
22	и что	4	42
23	не имеет	7	41
24	в том	9	40
25	что такое	2	39
26	в этом	34	39
27	то же	4	39
28	в себе	12	38
29	это есть	4	38
30	что она	5	38
31	том что	7	37
32	что он	16	37
33	прежде всего	18	37
34	это не	10	36
35	так что	3	36
36	она есть	3	35
37	– в	2	35
38	что в	12	34
39	в нем	26	34
40	и все	13	33
41	– не	6	33
42	того что	13	33
43	но и	34	32
44	он –	20	31
45	все это	6	31
46	и как	3	30
47	сказать что	5	30
48	так и	5	29
49	было бы	11	29
50	как и	14	28
51	никогда не	30	27
52	в виду	2	26
53	не в	16	26
54	есть и	6	26
55	– это	2	26
56	есть только	2	25
57	есть не	9	25
58	и то	2	25
59	учение о	3	25
60	если бы	5	24
61	но это	8	24
62	есть всегда	2	24
63	и вот	7	23
64	в то	2	23
65	это и	7	23
66	или от	2	22
67	я не	4	22
68	она не	9	21
69	что не	3	21
70	должна быть	7	21
71	личности и	3	21
72	в чем	3	21
73	в каком	2	20
74	что все	5	20
75	только в	7	20
76	что и	6	20
77	о том	5	20
78	уже не	8	20
79	и с	6	20
80	в своем	17	19
81	и это	16	19
82	тогда когда	2	19
83	в самом	15	19
84	не существует	5	19
85	и его	13	19
86	иное как	4	18
87	не что	4	18
88	что иное	4	18
89	что же	2	18
90	хотя бы	8	18
91	жизни и	6	18
92	но если	4	17
93	в основе	4	17
94	в сущности	2	17
95	должно быть	5	17
96	в своей	18	16
97	мы не	2	16
98	нет ничего	9	16
99	сам по	2	16
100	к нему	8	16
101	об этом	2	16
102	конечно не	3	16
103	быть и	2	15
104	то в	2	15
105	также и	6	15
106	все же	2	15
107	так же	5	15
108	самом деле	2	15
109	хотя и	2	15
110	и мы	2	15
111	же и	2	15
112	личности в	4	15
113	и потому	17	14
114	жизнь и	5	14
115	и ее	2	14
116	ни с	4	14
117	с ним	5	14
118	даже и	2	14
119	есть то	2	14
120	– все	5	14
121	не было	25	14
122	но в	12	13
123	в ней	23	13
124	и та	2	13
125	время как	2	13
126	отличается от	2	13
127	он не	34	13
128	идея и	3	13
129	что они	4	13
130	и к	9	13
131	не могу	4	13
132	вопрос о	7	12
133	могут быть	2	12
134	все эти	3	12
135	все равно	3	12
136	не могут	6	12
137	а в	4	12
138	и нет	3	12
139	с этим	4	12
140	и тогда	2	12
141	но не	8	12
142	не о	2	11
143	та же	4	11
144	должны быть	3	11
145	от того	4	11
146	его не	5	11
147	в них	5	11
148	есть ли	2	11
149	есть в	3	11
150	не значит	2	11
151	идеи и	2	10
152	одно из	3	10
153	от этого	4	10
154	к тому	6	10
155	в ее	3	10
156	в его	10	10
157	за пределы	5	10
158	нет ни	3	10
159	для того	4	10
160	с этой	4	10
161	себе и	4	10
162	и для	7	10
163	оно не	3	10
164	и можно	3	10
165	чтобы не	4	10
166	в их	4	10
167	можно ли	2	10
168	мы видим	4	10
169	ни того	2	10
170	как будто	4	10
171	в жизни	7	10
172	во всем	5	10
