N	2gram	Propp_Morf	Russkaja
1	не может	19	22
2	и не	16	19
3	в том	10	17
4	в этом	18	17
5	и в	17	14
6	то что	10	13
7	точки зрения	7	11
8	то же	10	11
9	таким образом	26	11
10	в то	4	10
11	но и	9	10
12	не только	8	9
13	том что	7	9
14	может быть	61	9
15	с точки	6	9
16	во всяком	2	9
17	того чтобы	4	8
18	прежде всего	14	8
19	самого себя	2	7
20	к тому	5	7
21	о том	6	7
22	в данном	2	7
23	мы должны	3	7
24	ни к	2	7
25	самом деле	4	7
26	с тем	2	6
27	если в	7	6
28	на самом	4	6
29	и для	4	6
30	в своих	2	6
31	в россии	2	6
32	и к	4	6
33	если бы	3	6
34	всяком случае	2	6
35	все это	2	6
36	для того	3	6
37	и при	3	6
38	что он	5	6
39	для него	2	6
40	вопрос о	10	5
41	а в	8	5
42	на то	3	5
43	было бы	5	5
44	хотя бы	5	5
45	из которых	5	5
46	между собой	5	5
47	потому что	7	5
48	он должен	3	5
49	себя и	2	5
50	только в	3	5
51	и только	3	5
52	он не	5	5
53	между тем	5	5
54	во всех	6	5
55	по существу	13	5
56	а потому	2	5
57	что в	10	4
58	но не	8	4
59	его в	4	4
60	к вопросу	2	4
61	все же	9	4
62	себя в	2	4
63	не могут	7	4
64	не в	3	4
65	как и	4	4
66	более или	2	4
67	как бы	6	4
68	можно было	4	4
69	путь к	2	4
70	приводит к	3	4
71	так как	20	4
72	что же	2	4
73	том случае	3	4
74	со стороны	5	4
75	то ни	3	4
76	в этой	3	4
77	в совершенно	2	4
78	от того	4	4
79	бы то	3	4
80	или менее	2	4
81	одной из	2	3
82	данном случае	2	3
83	одна из	5	3
84	то это	5	3
85	и этот	2	3
86	в большинстве	3	3
87	что это	3	3
88	вопросу о	2	3
89	но мы	3	3
90	этом случае	10	3
91	из этих	2	3
92	ни одна	4	3
93	в другом	2	3
94	главным образом	5	3
95	из них	4	3
96	но если	10	3
97	случае если	2	3
98	и как	6	3
99	несмотря на	4	3
100	может не	2	3
101	что и	10	3
102	или в	6	3
103	вряд ли	2	3
104	говорить о	4	3
105	и по	3	3
106	связи с	12	3
107	еще не	4	3
108	в виде	3	3
109	того что	3	3
110	в качестве	8	3
111	что они	5	3
112	друг друга	3	3
113	и т	62	3
114	тем что	4	3
115	то в	3	3
116	не так	2	2
117	с этим	14	2
118	в таких	3	2
119	есть и	4	2
120	большинстве случаев	3	2
121	ее в	3	2
122	тому что	5	2
123	к нему	3	2
124	она не	2	2
125	но в	4	2
126	ни в	3	2
127	что такое	3	2
128	так же	4	2
129	их в	2	2
130	в начале	3	2
131	этого не	2	2
132	в настоящее	3	2
133	состоит в	3	2
134	уже не	4	2
135	этот вопрос	4	2
136	в некоторых	4	2
137	в результате	8	2
138	благодаря этому	3	2
139	по отношению	7	2
140	но для	3	2
141	даже не	3	2
142	настоящее время	3	2
143	и даже	2	2
144	а не	11	2
145	и тот	2	2
146	для нас	2	2
147	одному из	3	2
148	от него	2	2
149	мы можем	5	2
150	целый ряд	3	2
151	точно так	2	2
152	к себе	2	2
153	если они	2	2
154	в других	5	2
155	и тем	3	2
156	к чему	3	2
157	тогда как	2	2
158	и что	3	2
159	но это	6	2
160	все эти	5	2
161	только для	2	2
162	а с	2	2
163	и тогда	3	2
164	в этих	17	2
165	в частности	2	2
166	и есть	3	2
167	во время	6	2
168	как будто	2	2
169	должна быть	2	2
170	его и	2	2
171	если же	5	2
172	быть и	2	2
173	приводят к	3	2
174	у него	2	2
175	мы уже	4	2
176	и более	2	2
177	что действительно	2	2
178	ясно что	5	2
