N	3gram	Voloshinov	Analitik
1	в том что	9	25
2	не может быть	23	19
3	по отношению к	9	18
4	в то же	7	16
5	о том что	2	15
6	той или иной	5	14
7	то же время	7	14
8	в отличие от	7	14
9	к тому же	2	13
10	с одной стороны	2	9
11	с другой стороны	6	9
12	того или иного	2	9
13	в свою очередь	5	9
14	в этом отношении	4	8
15	не только в	2	8
16	с точки зрения	31	8
17	во всяком случае	4	7
18	в таком случае	5	7
19	тем не менее	3	6
20	одного и того	9	6
21	так или иначе	2	6
22	и того же	9	6
23	но и в	3	5
24	в этом случае	3	5
25	в той или	3	5
26	до известной степени	2	4
27	в самом деле	13	4
28	и не в	3	4
29	том что он	3	4
30	для того чтобы	7	4
31	и не может	11	4
32	в значительной степени	3	4
33	в этом смысле	2	4
34	сама по себе	2	4
35	то ни было	11	3
36	бы то ни	11	3
37	в противном случае	2	3
38	то же самое	8	3
39	в первом случае	3	3
40	тот или иной	2	3
41	всех без исключения	5	3
42	не могут быть	3	3
43	и тот же	3	3
44	в том числе	3	3
45	а не в	3	3
46	в связи с	12	3
47	одной и той	2	3
48	и те же	5	3
49	одни и те	5	3
50	можно сказать что	4	3
51	и той же	2	3
52	в зависимости от	2	3
53	одно и то	3	2
54	как если бы	6	2
55	в коем случае	2	2
56	и то же	3	2
57	на этот вопрос	3	2
58	более или менее	3	2
59	какой бы то	3	2
60	но в то	6	2
61	ни в коем	2	2
62	можно было бы	2	2
63	со всех сторон	2	2
64	к тому что	4	2
65	друг с другом	2	2
66	отнюдь не является	5	2
67	один и тот	3	2
68	в данный момент	2	2
69	внутреннего и внешнего	4	2
70	в данном контексте	3	2
71	до тех пор	2	2
72	если бы он	3	2
73	до сих пор	10	2
74	не есть вещь	2	2
75	и прежде всего	4	2
76	смысле этого слова	6	2
77	нет и не	2	2
78	на то что	2	2
79	в широком смысле	2	2
