N	2gram	Tiupa_Hudo	VerxiiNi
1	и в	23	26
2	таким образом	3	22
3	в этом	12	15
4	точки зрения	11	13
5	как бы	11	12
6	в том	20	11
7	не только	20	10
8	из этих	3	10
9	может быть	19	10
10	что в	7	9
11	в области	8	9
12	связи с	3	9
13	но и	14	9
14	но не	13	8
15	с другой	9	8
16	и не	16	8
17	к нему	3	7
18	потому что	3	7
19	одной стороны	3	7
20	то что	5	7
21	с одной	3	7
22	но в	10	7
23	том что	9	7
24	а с	2	7
25	в отношении	4	6
26	к тому	4	6
27	о том	2	6
28	того же	3	6
29	в себе	13	6
30	несмотря на	2	6
31	что и	2	6
32	с точки	3	6
33	и т.д	4	6
34	все эти	2	6
35	все это	2	6
36	и потому	2	6
37	так и	12	6
38	никогда не	2	5
39	в мире	24	5
40	одной из	2	5
41	и для	3	5
42	более или	6	5
43	так же	2	5
44	том числе	3	5
45	и к	3	5
46	в силу	4	5
47	отношение к	7	5
48	к жизни	2	5
49	того чтобы	5	5
50	лишь в	7	5
51	в его	11	5
52	для того	5	5
53	а не	13	5
54	или менее	6	5
55	далеко не	4	4
56	а в	13	4
57	с другими	5	4
58	в самом	7	4
59	в нем	6	4
60	не может	9	4
61	то есть	26	4
62	из которых	2	4
63	то же	12	4
64	числе и	2	4
65	и что	4	4
66	и по	2	4
67	в этих	4	4
68	только в	7	4
69	что он	5	4
70	он не	4	4
71	в этой	2	4
72	в то	8	4
73	в рамках	13	3
74	духовной культуры	2	3
75	в своем	4	3
76	так или	4	3
77	не вполне	2	3
78	каждая из	2	3
79	или иначе	5	3
80	уже не	6	3
81	в которой	3	3
82	в значительной	2	3
83	тем не	3	3
84	представляет собой	11	3
85	и как	4	3
86	из которого	4	3
87	если бы	3	3
88	при этом	19	3
89	не менее	5	3
90	в качестве	31	3
91	с этой	3	3
92	в связи	3	3
93	и другие	2	3
94	в таком	3	3
95	случае не	2	3
96	и о	4	3
97	можно сказать	6	3
98	отношению к	10	3
99	в одном	3	3
100	того что	5	3
101	для него	5	3
102	по своему	3	2
103	одно из	2	2
104	сказать что	4	2
105	этой точки	2	2
106	начиная с	2	2
107	из этого	2	2
108	и это	2	2
109	или иной	9	2
110	а также	6	2
111	в самой	2	2
112	состоит в	20	2
113	мы имеем	6	2
114	есть как	2	2
115	между тем	4	2
116	одним из	2	2
117	к его	3	2
118	в свою	3	2
119	не как	2	2
120	именно в	2	2
121	отличается от	2	2
122	приводит к	6	2
123	в них	2	2
124	и особенно	2	2
125	и на	3	2
126	еще не	4	2
127	к которому	4	2
128	по своей	7	2
129	либо в	2	2
130	и больше	2	2
131	превращается в	2	2
132	не в	9	2
133	не всегда	2	2
134	то ни	2	2
135	ни было	2	2
136	той или	5	2
137	в одно	2	2
138	же время	7	2
139	никем не	2	2
140	один из	2	2
141	в виду	5	2
142	совершенно иной	2	2
143	без остатка	2	2
144	прежде всего	5	2
145	бы то	2	2
146	не могло	2	2
147	с его	6	2
148	во всех	3	2
149	вслед за	2	2
150	быть и	2	2
151	не с	2	2
