N	3gram	Voloshinov	TeoriaLi
1	в том что	9	10
2	по отношению к	9	10
3	в то же	7	8
4	то же время	7	8
5	в отличие от	7	7
6	с другой стороны	6	6
7	более или менее	3	6
8	того или иного	2	6
9	так или иначе	2	5
10	для того чтобы	7	5
11	не может быть	23	5
12	и того же	9	4
13	одного и того	9	4
14	тот или иной	2	3
15	с точки зрения	31	3
16	с одной стороны	2	3
17	в этом смысле	2	3
18	в том числе	3	3
19	тем не менее	3	3
20	той или иной	5	3
21	отношение знака к	2	3
22	можно сказать что	4	3
23	в знаковом материале	2	3
24	всех без исключения	5	3
25	в связи с	12	3
26	в свою очередь	5	3
27	то ни было	11	2
28	одно и то	3	2
29	бы то ни	11	2
30	в коем случае	2	2
31	и то же	3	2
32	в противном случае	2	2
33	до известной степени	2	2
34	в таком случае	5	2
35	в данный момент	2	2
36	в данном контексте	3	2
37	в самом деле	13	2
38	в значительной степени	3	2
39	том числе и	3	2
40	том что он	3	2
41	к тому что	4	2
42	может быть и	8	2
43	ни в коем	2	2
44	сама по себе	2	2
45	в отношении к	7	2
46	не могут быть	3	2
47	но в то	6	2
