N	2gram	Bakhtin_Pr	DiskursI
1	а не	19	60
2	может быть	23	56
3	не только	14	49
4	и в	83	49
5	как и	13	47
6	при этом	6	46
7	в том	22	44
8	и не	41	44
9	то есть	86	41
10	том что	9	40
11	в этом	24	38
12	в себе	10	37
13	но и	16	35
14	своего рода	7	32
15	и т.п	42	32
16	но не	9	31
17	так и	9	28
18	но в	12	28
19	не может	18	27
20	по своей	12	26
21	как в	10	25
22	еще не	10	23
23	а также	4	20
24	все же	3	19
25	прежде всего	20	19
26	в нем	21	19
27	в своей	5	19
28	данного жанра	5	18
29	в основе	6	18
30	далеко не	4	18
31	по отношению	6	17
32	то же	10	17
33	с другой	4	17
34	отношению к	5	17
35	в мире	8	17
36	точки зрения	17	16
37	только в	10	16
38	в его	15	15
39	то что	14	15
40	о том	3	15
41	это не	10	14
42	или иной	2	14
43	не в	10	14
44	не менее	4	14
45	можно сказать	12	14
46	в целом	3	13
47	как бы	27	13
48	в своем	2	12
49	и все	14	12
50	того же	5	12
51	при всей	3	12
52	ведет к	3	12
53	в своих	4	12
54	жанра в	3	12
55	и на	27	12
56	что в	5	11
57	с его	4	11
58	не было	5	11
59	жанровом отношении	4	10
60	а в	4	10
61	в жанровом	4	10
62	той или	2	10
63	также и	5	10
64	и т.д	5	10
65	же время	8	10
66	тем самым	2	9
67	в то	8	9
68	героя в	2	9
69	между тем	2	9
70	в них	4	9
71	уже не	5	9
72	человека в	6	8
73	в соответствии	3	8
74	этого жанра	17	8
75	и о	3	8
76	к тому	2	8
77	потому что	9	8
78	хотя и	10	8
79	если в	2	8
80	и даже	5	8
81	жизни в	4	8
82	в этих	8	8
83	в себя	8	8
84	в котором	8	8
85	в творчестве	8	8
86	соответствии с	2	8
87	в одном	4	8
88	из них	7	8
89	он не	5	8
90	перед нами	17	7
91	его в	4	7
92	о чем	2	7
93	могут быть	5	7
94	и ее	8	7
95	одной из	6	7
96	и для	5	7
97	но это	7	7
98	в процессе	4	7
99	что и	4	7
100	например в	8	7
101	в этой	3	7
102	жанровой традиции	8	7
103	другой стороны	3	7
