N	3gram	Propp_Russ	Vvedenie
1	и т д	12	39
2	для того чтобы	6	22
3	в том что	27	15
4	о том что	6	13
5	тем не менее	3	9
6	в этом случае	9	6
7	к выводу что	3	6
8	не что иное	3	5
9	что иное как	3	5
10	в том чтобы	2	5
11	и в том	2	4
12	в данном случае	7	4
13	т е в	6	4
14	и в этом	2	4
15	но все же	2	4
16	в отличие от	4	4
17	с точки зрения	3	4
18	можно было бы	2	4
19	вместе с тем	10	3
20	по этому поводу	3	3
21	но вместе с	3	2
22	половине xix в	2	2
23	состоит в том	16	2
24	мы уже знаем	2	2
25	как мы уже	2	2
26	к этому времени	2	2
27	подобно тому как	3	2
28	что в этом	2	2
29	потому что он	2	2
30	и потому что	2	2
31	может быть и	3	2
32	после того как	3	2
33	в связи с	4	2
34	в свою очередь	2	2
