N	2gram	Propp_Isto	FransuaR
1	и в	41	367
2	в этом	19	112
3	и не	12	101
4	таким образом	15	100
5	и его	11	99
6	в его	4	98
7	прежде всего	6	92
8	не только	30	87
9	мы уже	10	85
10	но и	20	84
11	как бы	8	82
12	все эти	8	79
13	вовсе не	6	77
14	как и	8	76
15	в нем	12	75
16	но в	7	75
17	и др	4	72
18	и на	12	72
19	в том	14	71
20	как мы	6	71
21	то же	12	66
22	и все	6	66
23	так и	8	65
24	в этой	2	65
25	в них	4	65
26	и с	4	64
27	во время	7	63
28	в то	6	63
29	все это	9	62
30	во всех	8	62
31	что в	21	52
32	в своем	3	51
33	только в	10	48
34	так как	21	46
35	и до	2	46
36	том что	18	45
37	то что	12	41
38	жизни и	3	40
39	у него	16	40
40	в самом	2	38
41	точки зрения	4	37
42	в ней	4	37
43	с его	4	36
44	может быть	19	35
45	мы видим	14	35
46	он был	2	35
47	о том	15	35
48	сказать что	5	34
49	и даже	3	34
50	в себе	3	34
51	в конце	4	32
52	он не	8	32
53	мы видели	17	32
54	в своей	4	31
55	связаны с	4	31
56	в литературе	2	31
57	так же	6	30
58	никогда не	16	30
59	один из	7	30
60	потому что	13	30
61	но он	4	30
62	в этих	16	29
63	не может	19	29
64	еще не	13	29
65	его в	7	29
66	не в	12	29
67	при этом	7	29
68	в одном	2	29
69	в особенности	2	29
70	связи с	3	29
71	что он	29	29
72	из них	2	28
73	в основе	2	28
74	всех этих	6	28
75	здесь и	3	28
76	сих пор	5	27
77	и другие	10	27
78	до сих	4	27
79	все же	14	27
80	кроме того	6	26
81	в преисподнюю	3	26
82	в области	3	25
83	но это	5	25
84	мира и	2	25
85	отношение к	6	24
86	в ее	3	24
87	и от	5	24
88	в частности	3	24
89	например в	6	24
90	но не	8	24
91	как в	17	24
92	и у	3	24
93	он и	3	24
94	этот образ	2	24
95	своего рода	7	23
96	это не	14	23
97	в их	4	23
98	с ним	9	23
99	и здесь	13	23
100	есть и	6	23
101	к нему	8	23
102	и о	2	22
103	связь с	7	22
104	даже в	2	22
105	а в	12	22
