N	3gram	Berdyaev_M	StatiiOP
1	в том что	3	47
2	о том что	3	29
3	для того чтобы	4	19
4	до сих пор	5	19
5	не может быть	22	11
6	вместе с тем	5	9
7	не только в	2	8
8	в конце концов	3	7
9	в то время	2	7
10	но также и	2	7
11	по отношению к	4	6
12	в том смысле	2	6
13	после того как	2	5
14	с тем что	3	5
15	что он не	3	5
16	то время как	2	5
17	но и в	4	5
18	и в самом	3	4
19	но это не	3	4
20	что и в	3	4
21	прежде всего в	2	3
22	что это не	2	3
23	потому что он	3	3
24	это не значит	2	3
25	в значительной степени	2	3
26	он не может	2	2
27	и в конце	2	2
28	может быть и	2	2
29	он не только	2	2
30	как и в	2	2
31	не может не	2	2
32	у нас не	2	2
33	между тем как	2	2
34	но он не	3	2
35	может быть назван	3	2
36	никогда не был	2	2
37	хотя бы и	2	2
38	я хотел бы	2	2
39	не до конца	2	2
40	тем что он	2	2
41	и вместе с	4	2
42	а не в	4	2
