N	2gram	Tiupa_Hudo	Marksizm
1	точки зрения	7	69
2	может быть	12	64
3	и в	34	63
4	и не	15	55
5	как бы	11	53
6	не может	10	47
7	с точки	5	46
8	и его	8	41
9	в этом	22	39
10	как мы	5	32
11	в пределах	4	31
12	лишь в	5	30
13	не только	22	29
14	в нем	5	28
15	то же	14	28
16	но и	13	27
17	самом деле	6	25
18	связи с	4	25
19	прежде всего	12	24
20	как и	16	24
21	в самом	7	24
22	так и	19	23
23	и т.п	2	23
24	только в	8	23
25	в том	24	22
26	то что	13	22
27	а не	23	22
28	при этом	21	20
29	так сказать	3	20
30	для него	15	20
31	том что	31	19
32	не в	16	19
33	в его	17	19
34	если бы	7	19
35	но в	6	18
36	в ее	16	18
37	и для	5	18
38	вовсе не	2	18
39	все же	5	17
40	в сущности	2	17
41	в то	12	16
42	по отношению	15	16
43	речь в	2	16
44	что он	14	15
45	в связи	3	15
46	во всех	2	15
47	отношению к	15	15
48	отнюдь не	4	15
49	же время	11	15
50	в контексте	2	14
51	в данном	3	14
52	хотя бы	2	14
53	ничего не	11	13
54	так же	3	13
55	мы не	2	13
56	того чтобы	6	13
57	было бы	8	13
58	в своей	15	13
59	слова в	2	13
60	то ни	2	13
61	что в	8	13
62	в результате	2	12
63	а в	11	12
64	в основе	3	12
65	для того	3	12
66	высшей степени	2	12
67	он не	8	12
68	между тем	14	12
69	на самом	2	11
70	друг друга	5	11
71	слова как	2	11
72	как в	11	11
73	и все	10	11
74	к нему	2	11
75	и на	6	11
76	в ней	6	11
77	сих пор	3	11
78	не столько	4	11
79	все эти	4	11
80	и от	6	11
81	так как	2	11
82	еще не	10	11
83	и что	3	11
84	мы уже	7	11
85	до сих	3	11
86	никогда не	8	10
87	его в	5	10
88	и потому	3	10
89	с его	9	10
90	сказать что	3	10
91	одна из	4	10
92	в своем	9	10
93	с другой	4	10
94	именно в	9	10
95	в таком	3	10
96	в себе	19	9
97	а как	2	9
98	это не	12	9
99	только на	6	9
100	одной из	5	9
101	и это	7	9
102	к тому	11	9
103	в нашем	2	9
104	рядом с	5	9
105	что это	2	9
106	и эта	3	9
107	не имеет	2	9
