N	3gram	Vinokur_Vv	Analitik
1	в том что	15	25
2	не может быть	10	19
3	по отношению к	4	18
4	в то же	6	16
5	о том что	13	15
6	той или иной	3	14
7	в данном случае	4	14
8	то же время	6	14
9	в отличие от	4	14
10	подобно тому как	2	9
11	с одной стороны	4	9
12	с другой стороны	5	9
13	по крайней мере	4	9
14	в свою очередь	2	9
15	в том чтобы	5	9
16	в этом отношении	4	8
17	не только в	4	8
18	с точки зрения	4	8
19	состоит в том	2	8
20	во всяком случае	5	7
21	что иное как	5	7
22	в свое время	3	7
23	тем не менее	9	6
24	одного и того	2	6
25	не что иное	5	6
26	так или иначе	4	6
27	и того же	2	6
28	есть не что	3	5
29	в этом случае	6	5
30	том или ином	2	5
31	в самом деле	6	4
32	большей или меньшей	3	4
33	для того чтобы	22	4
34	не в том	2	4
35	в соответствии с	2	4
36	и в этом	4	4
37	в известном смысле	3	4
38	в том или	2	4
39	в этом смысле	10	4
40	тех или иных	3	4
41	сама по себе	3	4
42	и т п	5	3
43	то же самое	3	3
44	в первом случае	2	3
45	дело не с	2	3
46	сам по себе	2	3
47	именно в этом	3	3
48	хотя бы и	2	3
49	не могут быть	2	3
50	и т.д в	2	3
51	в связи с	2	3
52	одной и той	2	3
53	можно сказать что	3	3
54	и той же	2	3
55	уже было сказано	2	3
56	и в самом	3	3
57	дело в том	3	3
58	в зависимости от	3	3
59	и то что	3	3
60	тем или иным	2	2
61	одно и то	2	2
62	и то же	2	2
63	в применении к	6	2
64	на этот вопрос	5	2
65	что же касается	2	2
66	но в то	3	2
67	в той мере	6	2
68	той мере в	6	2
69	можно было бы	4	2
70	мере в какой	6	2
71	заключается в том	3	2
72	что несмотря на	2	2
73	этой точки зрения	2	2
74	в этих случаях	2	2
75	с этой точки	2	2
76	до сих пор	7	2
77	обратим внимание на	2	2
78	смысле этого слова	2	2
79	а между тем	2	2
80	не говоря уже	2	2
81	в широком смысле	7	2
