N	2gram	Losev_Vesc	TeoriaLi
1	– это	4	33
2	в качестве	4	33
3	не только	48	24
4	и в	44	24
5	в частности	3	23
6	то есть	2	22
7	может быть	37	22
8	в том	15	20
9	– в	13	20
10	я в	3	18
11	тогда как	3	18
12	и не	57	17
13	а в	6	15
14	но и	19	14
15	так и	4	14
16	а не	34	14
17	в себе	23	14
18	но не	9	13
19	в этом	17	12
20	то же	12	12
21	но в	8	12
22	сводится к	4	12
23	в его	5	12
24	том что	13	11
25	точки зрения	10	11
26	и его	4	11
27	как это	4	10
28	что в	11	10
29	в данном	6	9
30	не в	14	9
31	с другой	8	9
32	в то	11	9
33	только в	23	9
34	не может	44	8
35	по своей	3	8
36	– с	2	8
37	как бы	19	8
38	в своей	6	8
39	же время	4	8
40	в своем	9	7
41	мы имеем	8	7
42	себя в	11	7
43	отношение к	4	7
44	в самом	13	7
45	однако в	3	7
46	не столько	2	7
47	в нем	6	7
48	тем самым	2	6
49	другой стороны	3	6
50	в первой	2	6
51	со стороны	9	6
52	не менее	11	6
53	еще не	12	6
54	то что	47	6
55	или менее	4	6
56	как и	15	6
57	более или	4	6
58	с другими	8	6
59	или иначе	5	6
60	уже не	15	6
61	приводит к	2	6
62	между ними	6	6
63	в ее	8	6
64	в основе	4	6
65	с его	2	6
66	данном случае	2	5
67	а и	13	5
68	по преимуществу	2	5
69	как в	3	5
70	как к	5	5
71	ни в	11	5
72	в виду	2	5
73	и тем	7	5
74	не является	3	5
75	для того	3	5
76	и о	4	5
77	для него	8	5
78	не случайно	2	5
79	так или	5	5
80	на почве	6	5
81	а а	2	5
82	не предполагает	4	5
83	того чтобы	4	5
84	того что	16	5
85	он не	4	5
86	в себя	13	5
87	можно сказать	8	5
88	никогда не	5	4
89	сказать что	21	4
90	в отношении	7	4
91	его в	8	4
92	это не	9	4
93	и ее	19	4
94	в другом	3	4
95	в силу	4	4
96	и а	3	4
97	– не	11	4
98	в их	4	4
99	что он	7	4
100	далеко не	2	4
101	к тому	3	4
102	а только	3	4
103	того же	5	4
104	слова в	2	4
105	в свою	5	4
106	в целом	3	4
107	отношении к	4	4
108	и того	2	4
109	и что	22	4
110	говорить о	9	4
111	не на	2	4
112	с ее	10	4
113	и сам	3	4
114	отношения к	3	4
115	в слове	2	4
116	хотя и	5	4
117	но он	2	4
118	и то	14	3
119	перед нами	3	3
120	и притом	4	3
121	и потому	8	3
122	во всех	5	3
123	одной стороны	3	3
124	– все	2	3
125	о чем	2	3
126	в которой	5	3
127	не все	3	3
128	и для	13	3
129	тем не	11	3
130	на меня	3	3
131	и как	12	3
132	если бы	8	3
133	или в	3	3
134	подобно тому	5	3
135	свою очередь	5	3
136	с этой	6	3
137	на две	2	3
138	и вот	4	3
139	ни к	3	3
140	была бы	3	3
141	между собой	2	3
142	с одной	3	3
143	а с	3	3
144	не с	8	3
145	есть в	4	3
146	в жизни	5	3
147	для себя	6	3
148	или иных	2	3
149	их в	6	3
150	именно в	2	3
151	потому что	25	3
152	тому как	5	3
153	во втором	2	3
154	прежде всего	17	3
155	к его	2	3
156	к действительности	2	3
157	этом смысле	2	3
158	отнюдь не	8	3
159	только не	5	3
160	мог бы	7	3
161	не будет	13	3
162	с точки	6	3
163	все эти	5	3
164	о ней	5	3
165	не обязательно	2	3
166	– только	4	3
167	той или	3	3
168	таким образом	16	3
169	тех или	6	3
170	в этой	4	3
171	в одном	6	3
172	как раз	16	3
173	вовсе не	11	3
174	и –	16	3
175	одно и	6	2
176	еще и	11	2
177	в каком	6	2
178	чтобы не	2	2
179	только и	8	2
180	но она	3	2
181	к одному	3	2
182	могла бы	3	2
183	то в	4	2
184	для меня	3	2
185	так же	4	2
186	но –	5	2
187	но как	3	2
188	с чем	7	2
189	тем более	3	2
190	дело не	4	2
191	человека и	3	2
192	дело в	6	2
193	– и	2	2
194	что она	23	2
195	это было	2	2
196	отличается от	8	2
197	об этом	5	2
198	но на	2	2
199	и даже	12	2
200	в конце	3	2
201	и здесь	5	2
202	сама по	7	2
203	в имени	21	2
204	и прежде	2	2
205	я и	8	2
206	это и	12	2
207	превращается в	3	2
208	это тоже	2	2
209	казалось бы	3	2
210	жизни в	3	2
211	определенным образом	6	2
212	ни было	12	2
213	у нас	9	2
214	только на	3	2
215	и другие	2	2
216	у него	3	2
217	это может	3	2
218	самом деле	7	2
219	может и	3	2
220	на вопрос	2	2
221	в чем	10	2
222	вместе с	4	2
223	в одно	2	2
224	при всем	2	2
225	– как	8	2
226	самим собою	2	2
227	к нему	3	2
228	для такого	2	2
229	и это	17	2
230	тому что	2	2
231	от всех	5	2
232	о том	11	2
233	зрения и	2	2
234	в самой	3	2
235	что такое	20	2
236	не вполне	2	2
237	есть как	3	2
238	вещами и	3	2
239	или иную	3	2
240	и мира	2	2
241	если мы	12	2
242	образом и	4	2
243	оно не	6	2
244	должен быть	5	2
245	и на	2	2
246	на себя	5	2
247	этой точки	3	2
248	на этом	4	2
249	к чему	2	2
250	из которых	3	2
251	он и	2	2
252	один из	5	2
253	собственно говоря	5	2
254	– уже	2	2
255	по себе	22	2
256	несмотря на	6	2
257	здесь не	2	2
258	в той	6	2
259	– то	3	2
260	что и	11	2
261	тем или	2	2
262	ту или	3	2
263	а затем	2	2
264	и больше	13	2
265	к другому	3	2
266	с ними	4	2
267	то ни	13	2
268	себя и	8	2
269	заключается в	3	2
270	не просто	23	2
271	все это	7	2
272	только о	2	2
273	что они	12	2
274	как будто	2	2
275	в первом	2	2
276	случае не	3	2
277	бы то	12	2
278	этих двух	2	2
279	я не	7	2
280	и который	2	2
281	имеем дело	3	2
282	основе своей	2	2
283	не сама	2	2
284	тем же	2	2
285	быть и	5	2
